leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
34,-7.96637,-0.04207,-0.48986,-1.76617,-0.52602,-1.35715,-2.09917,-0.57463,-0.17411,-4.19486,-2.94847
35,-7.94229,-1.1297,-0.17398,-1.4333,-3.04052,-0.36532,-0.25762,-3.7019,-1.17507,-2.44588,-1.74568
36,-7.93716,-0.48308,-2.00077,-0.43692,-3.05126,-1.70104,-2.41331,-2.8862,-2.07554,-0.69236,-1.19541
37,-7.93619,-0.1998,-3.48546,-0.66867,-1.74042,-0.50544,-2.06894,-1.2307,-1.9703,-0.08018,-3.37834
38,-7.93473,-1.88141,-1.09966,-4.10391,-1.40063,-2.0889,-1.12998,-0.77286,-1.49168,-1.87808,-1.22364
39,-7.90316,-4.53499,-0.90017,-2.86373,-0.14618,-0.4966,-1.73401,-0.4222,-1.86008,-0.40322,-0.94188
40,-7.89662,-1.79744,-2.75722,-1.93003,-0.6954,-1.33058,-0.63713,-3.94362,-1.49319,-1.54598,-0.50349
41,-7.88358,-2.91355,-2.36464,-1.0567,-2.28639,-0.29647,-1.38419,-0.47011,-3.50061,-0.4086,-1.66691
42,-7.84713,-0.62557,-1.73639,-1.00694,-0.69983,-3.82188,-1.01112,-2.33887,-1.24568,-1.57995,-2.89225
43,-7.84142,-2.56614,-1.21872,-0.87866,-2.14846,-1.79424,-0.94463,-1.03316,-2.21499,-3.77681,-0.83932
44,-7.80841,-1.2872,-1.35296,-1.48589,-2.96892,-0.17171,-2.58263,-2.97764,-0.99448,-2.71443,-0.77204
45,-7.80802,-1.4388,-0.86892,-1.73766,-0.45614,-2.77889,-2.20328,-3.57632,-2.74043,-0.21104,-0.24688
46,-7.79914,-1.71951,-0.45148,-3.55612,-3.77991,-0.78918,-0.03055,-1.05468,-2.15707,-1.56856,-0.47932
47,-7.76962,-1.63943,-1.65204,-0.69209,-2.00584,-3.14461,-0.42077,-1.55408,-0.00293,-3.70169,-1.8789
48,-7.76259,-1.75686,-0.34644,-3.39903,-0.14544,-0.85688,-0.43856,-0.95324,-1.6749,-3.63958,-2.65972
49,-7.76188,-0.47045,-1.82435,-0.9001,-0.09526,-0.96037,-0.61552,-2.10113,-4.45126,-1.30439,-2.85539
50,-7.7465,-1.32602,-3.40576,-1.11458,-2.57374,-1.66427,-0.58898,-2.61611,-1.70011,-0.1632,-2.42695
51,-7.74035,-0.25058,-2.69102,-1.37472,-1.35215,-3.13176,-2.96267,-1.46746,-2.07896,-1.94166,-0.48332
52,-7.72549,-1.8501,-4.58009,-3.14579,-2.03495,-0.5891,-0.0583,-0.23517,-0.41255,-0.64924,-0.93925
53,-7.67139,-1.57868,-1.47874,-2.78933,-1.12344,-2.81457,-1.91776,-1.71702,-1.02554,-3.16949,-1.33541
54,-7.66136,-0.23092,-1.31884,-2.12177,-1.87595,-3.05094,-0.45531,-1.57987,-1.07134,-2.71453,-3.31086
55,-7.64127,-3.39782,-1.98439,-1.2603,-0.10873,-1.10422,-0.94473,-0.68537,-2.0635,-4.20551,-0.04462
56,-7.6383,-3.39594,-0.6887,-1.05631,-2.23328,-1.44423,-3.71296,-0.87154,-1.0793,-1.7627,-1.62569
57,-7.61178,-0.26685,-3.72442,-3.45192,-1.56996,-0.33469,-2.58869,-1.23719,-1.35585,-1.35454,-1.31174
58,-7.60741,-0.64978,-1.046,-2.65021,-3.82658,-1.35254,-0.49382,-1.54246,-2.05991,-3.1864,-0.30967
59,-7.60002,-1.21886,-0.66767,-4.28815,-1.76997,-1.41165,-0.56258,-1.99195,-1.32129,-3.07293,-1.14955
60,-7.59779,-3.5923,-0.58741,-0.1763,-2.51917,-1.49239,-1.70905,-3.09593,-2.40326,-1.18452,-0.8573
61,-7.58931,-1.68199,-3.04418,-0.18381,-3.17744,-2.97786,-1.35425,-0.52398,-2.54367,-1.64652,-0.13709
62,-7.57899,-1.62368,-0.81526,-4.48144,-0.36061,-0.24717,-0.6461,-2.28217,-2.39581,-0.19666,-2.75303
63,-7.57548,-0.33701,-3.21509,-0.09162,-2.42411,-0.66623,-3.58133,-2.21939,-1.71646,-2.2369,-0.36285
64,-7.56776,-1.50729,-2.24629,-2.40152,-0.75973,-3.58001,-0.5526,-3.78433,-0.75309,-0.92297,-0.45248
65,-7.55799,-1.25287,-0.65672,-5.33316,-1.18448,-1.79462,-0.34834,-2.06533,-1.82415,-0.30766,-0.02355
66,-7.55317,-1.41692,-3.03808,-3.16719,-2.44987,-0.03002,-1.49433,-3.43202,-0.50462,-0.01289,-1.18808
67,-7.55215,-2.61587,-2.55033,-0.41381,-0.81982,-3.90519,-1.33336,-1.3244,-3.04503,-0.66985,-0.52097
68,-7.55184,-0.95433,-0.43121,-1.14696,-1.33044,-1.31098,-0.6684,-0.86761,-2.52521,-5.176,-1.64365
69,-7.54722,-0.33717,-0.46467,-3.50332,-0.16566,-1.43175,-3.91101,-0.25386,-1.67922,-3.17161,-0.34634
70,-7.5392,-2.9078,-0.87239,-1.84233,-3.29209,-0.0258,-3.62045,-1.23035,-1.4339,-1.69636,-0.39527
71,-7.53762,-2.48745,-2.52871,-1.85421,-0.47398,-1.56606,-0.32726,-1.55024,-2.95706,-0.49345,-3.60405
72,-7.53709,-0.56491,-5.32312,-2.47101,-1.23766,-1.29688,-0.37839,-1.18095,-1.198,-0.28928,-1.4701
73,-7.53485,-3.60443,-3.79752,-1.61055,-1.16087,-2.40649,-2.03099,-0.11971,-0.30591,-1.04119,-0.87374
74,-7.52371,-3.25691,-0.2592,-1.96915,-1.41354,-1.17869,-3.6209,-0.89476,-1.15259,-3.19145,-0.16969
75,-7.52309,-0.83239,-0.78151,-0.16326,-0.83995,-0.63407,-1.9562,-4.09283,-2.67588,-3.6065,-0.46921
76,-7.52096,-0.78636,-4.20171,-3.74895,-0.36985,-0.14696,-1.78967,-1.6095,-0.94462,-1.70232,-1.16869
77,-7.51836,-0.24927,-1.92097,-0.79609,-0.61792,-2.21644,-1.38955,-0.0624,-2.11501,-5.20662,-0.52611
78,-7.51497,-2.82208,-1.62547,-0.07121,-3.30355,-1.31346,-2.66591,-1.00806,-2.85678,-1.99595,-0.08361
79,-7.51054,-0.06342,-2.2177,-0.70455,-1.10494,-1.86323,-3.90994,-3.19786,-1.17047,-1.0341,-2.35103
80,-7.50895,-3.52357,-0.98447,-0.96916,-1.98954,-0.73608,-4.3295,-0.42495,-1.35334,-1.54796,-1.2801
81,-7.48997,-0.07688,-1.2183,-0.99362,-1.16141,-1.60731,-0.98582,-5.74454,-1.24083,-1.39128,-0.20914
82,-7.4858,-0.67949,-1.29005,-0.43993,-1.09703,-0.04721,-1.14697,-2.43267,-2.08382,-3.90791,-3.68647
83,-7.4795,-0.22036,-1.80427,-4.10797,-1.78074,-1.83196,-0.29786,-1.68414,-1.69625,-1.70069,-2.9421
84,-7.45484,-2.19028,-1.59645,-3.02597,-1.4555,-3.45231,-1.287,-2.89042,-0.04219,-1.75765,-0.88538
85,-7.44299,-2.12489,-0.99503,-1.12402,-3.08485,-0.61243,-1.66975,-2.58017,-1.43046,-3.51212,-2.02864
86,-7.43661,-2.62771,-2.50255,-1.36382,-2.06212,-1.33319,-3.34359,-2.47913,-0.94463,-0.39867,-2.29403
87,-7.43542,-1.14623,-3.74649,-1.79652,-2.56194,-2.68398,-1.08467,-0.59815,-0.08257,-3.16956,-0.88461
88,-7.41986,-3.54816,-1.56462,-2.42451,-1.54632,-2.6601,-0.65421,-1.32004,-1.91264,-0.93766,-2.80263
89,-7.41817,-4.92594,-1.53043,-0.55619,-0.24333,-0.65403,-1.91652,-3.27919,-0.50164,-1.62123,-0.51103
90,-7.41479,-2.0718,-0.08776,-3.21206,-1.89994,-2.47315,-3.38136,-0.87653,-1.94162,-2.03254,-0.75778
91,-7.41447,-0.79899,-0.27085,-0.49554,-4.27053,-3.9542,-1.6832,-0.24058,-2.21148,-0.79862,-1.33259
92,-7.40797,-0.70107,-4.63888,-1.82185,-0.50138,-0.52332,-1.32695,-0.51621,-1.10799,-2.0135,-3.458
93,-7.40729,-1.89763,-0.68872,-2.68446,-3.75726,-0.99584,-2.66114,-0.42583,-1.02145,-1.90862,-2.60626
94,-7.40617,-3.26181,-2.80086,-1.99,-0.34116,-1.06036,-3.84387,-0.03746,-1.37096,-2.13953,-0.4792
95,-7.3939,-2.4315,-0.15813,-0.02384,-1.6821,-0.83433,-1.87978,-5.29705,-0.24891,-1.90872,-0.75456
96,-7.39217,-1.02259,-2.89279,-1.30865,-4.32535,-2.08223,-0.0493,-1.80359,-1.79224,-0.19754,-2.16298
97,-7.39214,-1.0646,-3.29106,-1.57265,-0.49427,-0.19698,-1.78875,-1.54792,-2.92057,-4.01028,-0.65397
98,-7.38185,-1.14531,-0.4068,-1.22368,-0.21268,-0.48045,-4.29313,-0.2098,-3.28891,-2.78833,-2.27837
99,-7.35877,-0.97098,-2.06132,-1.9159,-3.53088,-0.43977,-0.35243,-2.60765,-2.94322,-2.95098,-0.17494
100,-7.33925,-3.23349,-0.08936,-1.44319,-4.39463,-2.80738,-1.34513,-0.79209,-1.43356,-0.63962,-1.22233
101,-7.33485,-1.15486,-1.26352,-2.29017,-1.72445,-1.7823,-4.35521,-3.32803,-0.88667,-0.84619,-0.57333
102,-7.33233,-1.73259,-1.79084,-2.66179,-2.0632,-0.93454,-0.17326,-2.16512,-0.66399,-3.7769,-2.89638
103,-7.31816,-2.98903,-2.97181,-2.47413,-0.85061,-1.50594,-0.97321,-1.02496,-1.47037,-2.33023,-3.15852
104,-7.30405,-2.27143,-0.56131,-2.05299,-2.92951,-5.08969,-0.45559,-0.08589,-1.00578,-1.10593,-0.15815
105,-7.29826,-2.14149,-1.88636,-1.71449,-2.47048,-2.77747,-0.7957,-2.68389,-2.16526,-0.61919,-2.98762
106,-7.29493,-1.98321,-2.57926,-0.32866,-0.79683,-3.60577,-1.10492,-2.71097,-3.67287,-0.34445,-0.52429
107,-7.29489,-3.61566,-0.99638,-0.27427,-0.28031,-1.7301,-3.00495,-0.82849,-0.68089,-2.13007,-3.85418
108,-7.29155,-1.30612,-0.67882,-3.6821,-3.14959,-0.49146,-0.23584,-0.31728,-0.35228,-2.81681,-3.56825
109,-7.28596,-0.75376,-0.05645,-2.21966,-1.31219,-1.84571,-1.66482,-0.57528,-2.1333,-1.69006,-5.07723
110,-7.28491,-3.14922,-4.28758,-0.65503,-1.17334,-2.48079,-1.84291,-0.55232,-1.17201,-1.12789,-2.07891
111,-7.2843,-2.5477,-1.27104,-1.70454,-2.25101,-1.86334,-0.07216,-0.59004,-1.73996,-4.88748,-0.34622
112,-7.27938,-0.31556,-0.36969,-0.69295,-3.62032,-0.76102,-1.11204,-3.85294,-2.4719,-0.26856,-3.21622
113,-7.27362,-0.09614,-2.02994,-4.35363,-1.24437,-1.38127,-2.41645,-1.41778,-0.99273,-0.38859,-3.40121
114,-7.24786,-2.54524,-0.47235,-0.44403,-2.67131,-0.15505,-0.19505,-4.59168,-2.41387,-2.42592,-0.75935
115,-7.24185,-0.69533,-1.11799,-0.92889,-1.55967,-3.4205,-2.09041,-2.28724,-2.91615,-3.48811,-0.74496
116,-7.23906,-0.35682,-1.84358,-4.04142,-1.46933,-1.14646,-3.94042,-1.94691,-1.81762,-1.27014,-0.17071
117,-7.23841,-0.75981,-3.60283,-2.96032,-0.89205,-1.7068,-2.20114,-2.73155,-2.12521,-1.33297,-1.72497
118,-7.23462,-3.60476,-0.83721,-3.2245,-1.53639,-4.20383,-1.11513,-0.88358,-0.10469,-0.72522,-0.9868
119,-7.22596,-2.18034,-1.93988,-0.01891,-4.45047,-0.7206,-0.05304,-1.98969,-1.08333,-0.88227,-3.6095
120,-7.21699,-2.57355,-0.11751,-1.6689,-2.24936,-2.57896,-2.34106,-1.02212,-0.24937,-4.38759,-0.97145
121,-7.2138,-3.29334,-2.59621,-3.15616,-3.52543,-0.34729,-1.54878,-0.39622,-1.48593,-1.41403,-1.04921
122,-7.20807,-2.09238,-4.50442,-2.41896,-3.06499,-0.03992,-1.10642,-0.08719,-1.65733,-1.2293,-1.62452
123,-7.20425,-0.18603,-2.34528,-3.28053,-0.33733,-2.90655,-3.34313,-1.03889,-0.41943,-1.36323,-2.99166
124,-7.20107,-3.69318,-2.33394,-4.30049,-1.00408,-2.54808,-0.43202,-1.21999,-0.16469,-0.6906,-0.93998
125,-7.19706,-0.25757,-2.81826,-3.57118,-0.37713,-2.3132,-3.33401,-0.45749,-3.13015,-0.76589,-0.48732
126,-7.19363,-0.65526,-0.85046,-1.3718,-1.43194,-0.62398,-1.5323,-5.86057,-1.34324,-2.02669,-0.41396
127,-7.18637,-0.88657,-1.90616,-2.91567,-2.09765,-5.07159,-0.98391,-0.31293,-0.40117,-0.23163,-2.00844
128,-7.17799,-0.92062,-0.7981,-0.7096,-1.89145,-0.87827,-1.56555,-0.86181,-5.491,-0.82373,-2.8489
129,-7.17553,-0.39105,-5.65073,-1.40638,-2.20317,-2.05694,-0.27771,-0.60518,-1.60997,-1.10646,-1.0515
130,-7.16658,-2.43094,-0.33357,-1.84493,-1.51589,-1.69284,-3.25444,-0.65852,-2.41353,-4.14691,-0.0708
131,-7.16302,-0.35468,-0.92461,-1.39679,-5.20909,-1.48097,-2.38812,-2.62982,-0.26494,-1.67953,-0.95995
132,-7.15888,-1.36466,-0.0494,-1.92697,-3.69305,-1.21416,-3.57415,-3.49901,-0.21197,-1.59945,-0.66259
133,-7.15554,-0.10727,-2.09518,-0.95778,-0.98698,-2.00255,-4.38045,-0.69568,-3.67753,-1.42655,-1.80656
134,-7.15289,-2.503,-1.11108,-0.47851,-1.53225,-1.86782,-1.43621,-1.06599,-4.81956,-2.94458,-0.41646
135,-7.13889,-0.60009,-3.20814,-1.92621,-0.76348,-0.28161,-2.33577,-0.61174,-1.78215,-0.00652,-5.00054
136,-7.13797,-1.89354,-2.18285,-1.31482,-3.82026,-2.44814,-3.30064,-0.20038,-2.65949,-0.24968,-0.55935
137,-7.1338,-0.12874,-3.89675,-1.29659,-0.57085,-2.88265,-1.11224,-0.08241,-0.79444,-4.01509,-2.36539
138,-7.1326,-0.22922,-2.01675,-0.79914,-3.18083,-2.20754,-3.16257,-0.37468,-0.10206,-0.10237,-4.38332
139,-7.13159,-0.63704,-2.03304,-4.33647,-1.09874,-2.89345,-0.66771,-0.9704,-2.24178,-1.95203,-2.44818
140,-7.12883,-3.55102,-3.00597,-0.44434,-3.30069,-0.95237,-0.95796,-1.20347,-1.13179,-2.11851,-2.72031
141,-7.12612,-3.23489,-2.26386,-0.74144,-0.59557,-0.10691,-0.72617,-4.61857,-2.50289,-0.46667,-2.09098
142,-7.12076,-2.55122,-0.72756,-0.90828,-1.34498,-0.67678,-0.39533,-2.77216,-3.28582,-3.69479,-2.62211
143,-7.12063,-0.13626,-4.19058,-1.14237,-0.30639,-0.60609,-0.29449,-1.00017,-4.20625,-2.96239,-1.54778
144,-7.11668,-0.39491,-2.66472,-3.38014,-0.84828,-0.60133,-3.15344,-2.54623,-0.78327,-2.9235,-2.00045
145,-7.11267,-1.57996,-0.7856,-2.04048,-1.18233,-0.05269,-2.84411,-0.87068,-1.23049,-4.67546,-2.9174
146,-7.10992,-0.243,-2.11525,-3.69676,-4.52996,-1.483,-0.372,-0.13467,-1.59468,-1.83943,-1.56426
147,-7.10708,-3.478,-0.48053,-1.52407,-2.05376,-1.48275,-2.33324,-1.04094,-1.15261,-0.15135,-4.53252
148,-7.09275,-3.63061,-2.12763,-1.60924,-1.87012,-1.91901,-0.51317,-3.22674,-2.35314,-1.94734,-1.4868
149,-7.09064,-0.46545,-2.84551,-1.95621,-2.83102,-2.52834,-0.57729,-2.53738,-2.64211,-2.2577,-2.07987
150,-7.08465,-0.46394,-1.91376,-0.0385,-0.49659,-1.55479,-2.25695,-0.78226,-2.67712,-3.82788,-3.96727
151,-7.08446,-1.98146,-1.2042,-1.42251,-1.84289,-1.05403,-2.49039,-2.51579,-3.47112,-0.91011,-3.53485
152,-7.08303,-2.61055,-3.65433,-0.90292,-0.06935,-0.91349,-4.13147,-0.17846,-3.09792,-1.0601,-0.4305
153,-7.08069,-1.41814,-4.0074,-2.89269,-1.14448,-2.20306,-1.49498,-1.92942,-2.72335,-1.96685,-0.14051
154,-7.08057,-3.45255,-2.83414,-1.6981,-1.05935,-2.22025,-2.3898,-2.15168,-1.59661,-2.46262,-1.42241
155,-7.07507,-0.6822,-3.09611,-1.35584,-1.22261,-0.5227,-0.61964,-1.2306,-2.93668,-5.05427,-0.46659
156,-7.07368,-0.4648,-1.00534,-0.14857,-0.35858,-1.4473,-2.92315,-2.02274,-4.17337,-3.92019,-1.03432
157,-7.06708,-2.22918,-3.00252,-0.87957,-2.13108,-1.97604,-4.43333,-0.57375,-2.27095,-0.34923,-1.2607
158,-7.06462,-2.51156,-2.64132,-0.34878,-4.34096,-1.68908,-1.34267,-0.40257,-0.50065,-3.4253,-1.01979
159,-7.06294,-2.2992,-1.12212,-0.18802,-1.42674,-4.94936,-0.59543,-0.0545,-3.0596,-2.4837,-1.05583
160,-7.05269,-1.22689,-4.72222,-2.28188,-1.20818,-1.01339,-0.71139,-3.34038,-1.46054,-0.85214,-2.05859
161,-7.05134,-1.83152,-0.79729,-1.17291,-3.37763,-1.12609,-2.85258,-2.67539,-2.83554,-2.77531,-1.09487
162,-7.05001,-1.63616,-3.0316,-0.65562,-1.93902,-2.17015,-2.60318,-3.75242,-1.94277,-1.69703,-1.42093
163,-7.04951,-0.74841,-0.18875,-1.43552,-2.58787,-1.44873,-3.35618,-2.96547,-2.62582,-2.08509,-2.74801
164,-7.03975,-1.24143,-5.09761,-0.34287,-1.18207,-0.89186,-0.83509,-1.89141,-2.42321,-1.52977,-2.84921
165,-7.02727,-0.64866,-0.68903,-0.11827,-3.13344,-1.78614,-2.69141,-0.5105,-4.07,-1.96621,-2.96041
166,-7.01901,-4.37083,-2.62194,-1.02297,-1.95771,-3.05032,-1.11597,-0.2966,-0.10379,-1.74394,-2.48712
167,-7.01357,-0.42754,-0.71797,-0.96399,-4.84351,-2.26669,-0.95748,-3.41998,-1.27144,-2.302,-1.02765
168,-7.01055,-0.65775,-1.74754,-1.69025,-3.91569,-0.90759,-0.57962,-2.16242,-1.66929,-3.8,-2.47261
169,-7.00398,-0.2046,-4.44777,-2.87326,-0.59734,-2.47165,-2.81775,-2.34162,-0.29565,-0.80662,-1.49581
170,-7.00321,-4.71612,-1.41431,-0.93663,-1.05622,-1.541,-0.00675,-2.41872,-1.77951,-2.68072,-2.47835
171,-6.99767,-1.37831,-1.32909,-3.99928,-0.53165,-3.62151,-1.22073,-1.23292,-3.08602,-0.45719,-2.2872
172,-6.99721,-0.30127,-1.01477,-3.88189,-1.48975,-1.01306,-2.7194,-2.20259,-0.96588,-4.22833,-0.7386
173,-6.99364,-0.364,-3.28019,-2.23083,-2.54271,-0.77295,-0.17084,-1.48308,-1.6772,-0.86797,-4.72889
174,-6.98725,-4.39877,-0.65744,-3.22813,-1.18079,-3.73504,-0.98724,-0.48695,-1.60306,-0.21037,-1.34369
175,-6.98368,-1.80919,-0.8196,-3.86023,-2.45066,-0.18099,-4.50781,-1.11154,-0.25431,-1.08606,-1.8824
176,-6.97648,-0.7423,-3.10525,-0.71697,-3.11912,-0.86448,-0.82486,-2.95036,-1.50317,-1.38488,-4.07215
177,-6.96821,-1.51424,-2.14714,-3.32644,-2.16898,-1.72406,-0.83527,-0.69166,-3.1706,-3.81702,-0.02151
178,-6.96806,-3.30174,-4.84267,-0.5856,-1.84669,-2.84902,-1.11158,-0.5722,-1.02763,-0.68194,-1.46253
179,-6.95828,-2.07623,-1.37412,-0.55768,-1.42447,-1.99412,-2.23772,-2.66853,-1.16554,-4.30051,-2.66185
180,-6.95643,-1.92822,-4.07474,-1.11964,-1.00656,-0.00492,-1.20961,-1.58141,-0.74372,-3.00723,-3.93182
181,-6.9546,-3.82207,-0.17951,-1.67135,-0.49133,-1.50165,-0.62213,-3.23675,-4.24846,-0.41448,-1.61817
182,-6.9544,-0.91427,-0.14487,-2.80924,-4.0964,-4.03432,-1.68404,-0.40454,-1.45291,-1.07647,-1.88733
183,-6.93677,-3.30417,-3.63795,-0.26428,-1.09221,-0.0529,-3.23166,-0.68688,-0.88904,-0.67809,-3.78125
184,-6.93485,-0.09541,-0.26265,-2.41493,-1.8874,-1.45641,-2.99328,-1.57718,-4.72686,-2.11374,-1.43393
185,-6.93404,-4.50639,-2.50059,-1.80067,-1.36496,-2.33179,-0.73087,-0.93306,-1.552,-1.61589,-2.89677
186,-6.93348,-0.48797,-1.12218,-1.72814,-5.36456,-0.65239,-0.16854,-0.19058,-2.16596,-2.04937,-3.04677
187,-6.9324,-0.14889,-2.37667,-0.95073,-4.57289,-0.15254,-2.54811,-1.77745,-0.43556,-3.78447,-0.51829
188,-6.92796,-2.97601,-2.68055,-3.78569,-0.56074,-0.70161,-1.29232,-0.5558,-2.01605,-0.62785,-3.79284
189,-6.92304,-2.51526,-4.58784,-0.84846,-1.72945,-1.39399,-0.88789,-1.99094,-2.13232,-1.54007,-2.71511
190,-6.92163,-0.22879,-2.63299,-0.1864,-0.05299,-1.38407,-5.85645,-1.80467,-0.50178,-2.23468,-0.59363
191,-6.91846,-1.24787,-1.86755,-1.19211,-1.26545,-0.32469,-4.78993,-4.06019,-1.79829,-0.84237,-0.76809
192,-6.91627,-3.87914,-2.58669,-2.05071,-2.25892,-0.38248,-1.40574,-0.03596,-2.43599,-1.75691,-3.15815
193,-6.90893,-1.76806,-2.86725,-1.78072,-3.01816,-2.83878,-2.80639,-0.85068,-0.7068,-3.29678,-0.78287
194,-6.90598,-0.24013,-0.66238,-2.37664,-2.39377,-1.50003,-0.61423,-1.41307,-5.08699,-3.10309,-0.54944
195,-6.90487,-0.48244,-3.41787,-2.15835,-0.80685,-1.52297,-4.31146,-1.60382,-1.14241,-0.69527,-3.13525
196,-6.90342,-0.71955,-0.60881,-0.48284,-2.5513,-1.472,-0.85077,-5.1065,-1.80761,-3.49563,-0.50823
197,-6.89958,-0.4006,-2.05273,-1.124,-4.90495,-2.75593,-2.05777,-0.86066,-1.60896,-2.74174,-0.15335
198,-6.89645,-4.41281,-3.66474,-0.11489,-1.86854,-2.33842,-0.68509,-1.872,-1.44377,-1.21511,-1.74019
199,-6.89604,-1.38229,-0.39565,-1.70717,-0.17293,-1.88008,-4.36424,-1.27774,-3.55291,-2.98834,-1.29066
200,-6.89556,-0.09756,-5.0861,-1.65227,-2.47853,-0.60712,-2.78484,-0.35786,-2.17749,-2.13527,-0.38393
201,-6.89097,-0.9601,-3.47919,-3.20723,-0.90574,-4.18766,-1.79479,-0.56429,-1.87195,-1.84512,-0.62966
202,-6.88759,-4.13764,-0.59745,-2.64717,-2.25647,-0.11132,-1.92993,-2.20463,-1.4811,-3.45382,-0.51474
203,-6.88674,-1.29719,-1.81008,-2.99064,-1.65809,-1.1815,-2.12448,-3.24452,-2.05136,-2.76907,-2.75834
204,-6.88161,-1.22052,-1.84889,-0.10644,-3.91392,-1.34566,-0.26456,-0.18687,-0.33431,-3.4882,-4.26734
