leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
20,-6.81614,-1.65082,-0.39836,-1.08659,-1.48364,-3.52159,-1.80425,-0.47728,-0.07169,-0.61249,-0.70154,-4.16049,-0.84426,-3.53481
21,-6.80855,-0.62846,-0.30051,-0.74194,-3.83083,-0.4459,-3.49925,-1.54599,-0.45056,-2.90176,-2.27595,-0.66415,-2.70675,-1.23624
22,-6.7946,-0.38583,-2.65901,-2.17371,-1.30091,-0.10354,-3.59178,-1.55505,-1.2702,-1.42346,-2.2206,-2.35417,-2.05851,-2.55278
23,-6.77543,-0.89264,-0.07045,-2.78698,-3.99772,-4.53434,-0.83759,-0.99088,-1.50289,-1.37067,-0.30894,-0.54732,-1.53774,-0.63407
24,-6.76657,-0.95823,-0.6938,-0.80661,-2.65087,-4.51569,-2.16392,-1.59372,-3.42589,-1.12635,-0.7973,-0.81476,-1.7724,-0.2755
25,-6.7236,-2.36114,-0.43818,-0.41191,-2.47809,-0.14383,-0.18094,-4.25955,-2.23927,-2.25045,-0.70442,-1.09944,-3.09445,-1.77733
26,-6.70825,-0.47212,-1.08573,-1.67201,-5.19029,-0.6312,-0.16307,-0.18439,-2.0956,-1.9828,-2.9478,-2.49698,-0.08048,-0.38726
27,-6.70266,-4.12648,-0.0683,-1.61588,-1.89703,-1.00585,-3.15029,-0.3166,-2.31644,-1.16562,-3.42756,-0.25988,-0.74713,-1.30284
28,-6.68141,-0.48038,-0.72943,-1.17471,-2.5424,-1.92225,-2.70913,-2.64159,-2.13057,-0.98851,-3.25635,-0.00354,-0.23266,-3.54476
29,-6.65938,-1.00858,-0.23376,-1.62662,-0.43029,-2.33071,-0.79794,-0.98507,-2.6113,-2.93967,-3.00043,-3.10879,-2.46979,-2.11727
30,-6.53558,-2.43062,-2.04718,-3.91855,-1.55523,-1.68967,-3.14949,-0.1143,-0.70661,-1.79133,-2.26846,-1.13603,-2.27329,-1.14616
31,-6.51863,-0.93833,-1.01685,-1.01318,-0.9041,-1.6249,-0.06466,-2.68757,-0.45066,-0.78591,-4.78794,-3.63294,-2.54816,-0.66705
32,-6.51081,-0.30395,-2.76576,-5.33597,-1.15677,-0.06986,-0.01244,-0.08965,-2.57206,-1.82454,-1.54078,-2.39592,-0.49005,-1.32087
33,-6.49071,-0.58767,-2.56458,-1.53447,-1.8005,-4.27954,-0.54667,-1.67872,-1.86425,-3.54715,-0.76747,-1.50575,-1.85284,-1.25433
34,-6.475,-0.02739,-0.88829,-0.07504,-2.49063,-1.59006,-2.32938,-3.14206,-4.96656,-0.22809,-2.0716,-0.67004,-0.46646,-1.88997
35,-6.45358,-1.20604,-4.20723,-4.12553,-1.46024,-2.35411,-1.63938,-0.04655,-0.04715,-1.1672,-2.07289,-2.16735,-0.62771,-1.02918
36,-6.43846,-2.34871,-2.4257,-1.47709,-1.3337,-0.58927,-1.65169,-0.1627,-0.04462,-4.34507,-3.58419,-1.8631,-2.19007,-0.29642
37,-6.374,-0.72367,-3.43874,-0.14881,-1.09419,-1.77188,-0.47109,-4.11191,-4.57033,-0.83824,-0.59189,-0.78519,-1.2469,-1.19273
38,-6.3629,-2.78979,-2.28753,-2.71533,-1.85548,-0.34907,-1.93412,-3.62313,-1.57124,-1.49002,-3.70131,-0.19804,-0.45326,-0.24269
39,-6.3515,-0.17795,-4.22837,-0.33504,-0.68981,-3.26105,-0.37418,-1.59126,-3.09539,-1.88375,-0.91481,-1.9581,-3.17043,-0.01688
40,-6.34793,-0.14197,-1.56278,-2.77745,-1.1178,-0.02451,-2.55688,-5.70812,-0.47912,-0.80259,-1.82135,-1.65502,-1.42728,-0.43529
41,-6.34507,-1.42466,-0.21926,-0.90363,-1.2416,-0.54766,-3.88169,-0.98492,-3.62854,-1.14968,-4.10296,-2.42642,-1.22513,-0.50592
42,-6.33442,-1.40296,-1.68982,-3.73433,-0.46463,-1.68151,-2.50282,-1.86423,-1.24866,-2.13901,-2.34021,-2.42453,-2.37209,-2.28189
43,-6.2921,-1.71261,-3.15649,-0.05353,-3.89704,-4.31684,-1.46028,-0.3767,-2.35954,-0.79734,-2.164,-0.50215,-0.41185,-0.3256
44,-6.27131,-1.64144,-2.16763,-1.57554,-1.6456,-0.1699,-2.21784,-1.46261,-2.04816,-1.52164,-3.82707,-3.70081,-0.52004,-2.42429
45,-6.26909,-1.6261,-1.26994,-0.15139,-1.54068,-3.90457,-0.02257,-3.75376,-1.66647,-2.54942,-0.16165,-0.01403,-1.00936,-3.79291
46,-6.25036,-1.6291,-2.17023,-0.01922,-1.60323,-0.93778,-3.34182,-0.85995,-1.94058,-1.91082,-2.12956,-4.14896,-2.01353,-2.23412
47,-6.24624,-1.8069,-1.08906,-1.36618,-2.90966,-3.39664,-2.76763,-2.36948,-4.22802,-0.61923,-0.196,-1.73673,-0.2746,-0.00267
48,-6.23436,-2.41675,-1.22011,-0.68121,-1.01377,-2.22162,-0.81726,-5.63864,-2.76526,-2.44341,-0.77819,-0.1702,-0.80784,-0.09862
49,-6.2302,-1.87651,-1.66164,-0.5427,-0.57331,-0.96363,-1.29355,-0.62632,-0.49706,-4.33399,-3.98549,-2.98952,-1.4581,-2.30371
50,-6.22736,-2.04389,-0.38284,-0.12665,-0.59339,-1.44167,-1.95788,-2.04865,-0.88527,-1.44158,-2.41374,-1.47808,-3.22435,-5.01498
51,-6.22065,-1.47476,-2.41594,-4.84996,-0.06296,-2.52779,-0.73579,-3.09875,-0.0766,-2.70052,-0.98361,-1.08398,-1.93256,-0.23751
52,-6.21928,-2.36521,-3.36593,-3.2079,-3.62816,-0.10286,-0.41976,-1.38688,-1.41367,-3.64654,-0.47215,-1.69682,-0.64455,-0.13845
53,-6.21353,-1.72283,-3.85413,-0.66025,-1.80251,-0.28911,-1.11272,-2.50457,-0.3678,-3.03861,-0.25833,-4.65587,-0.93277,-0.55464
54,-6.20524,-3.03789,-0.74905,-3.54121,-3.3889,-0.78119,-3.21665,-0.56432,-0.08918,-1.56473,-1.68269,-0.30456,-3.29101,-0.43995
55,-6.20238,-0.19794,-1.36617,-5.56051,-3.46834,-1.37496,-1.11045,-1.20029,-0.7933,-1.04201,-2.4864,-0.38456,-0.61415,-1.92084
56,-6.19817,-1.00661,-0.56496,-1.3837,-2.03701,-0.98927,-5.18982,-1.30629,-0.80681,-0.0172,-2.36745,-2.21599,-3.35177,-1.47168
57,-6.19749,-0.17389,-2.92912,-2.82233,-1.62779,-0.27821,-2.11965,-2.14983,-4.40615,-0.38021,-2.53067,-0.56104,-2.56722,-0.55261
58,-6.17303,-1.17355,-1.80824,-4.03956,-0.67823,-0.03364,-0.17191,-4.56699,-2.36479,-0.60109,-0.15326,-1.16186,-3.07712,-1.66885
59,-6.1533,-0.09658,-0.20119,-0.74356,-1.18305,-5.60334,-0.12552,-2.78904,-1.46261,-0.16534,-0.03283,-0.90273,-3.93118,-1.58304
60,-6.13844,-1.2941,-2.247,-2.08037,-2.46604,-2.53741,-2.66458,-2.36865,-1.02549,-4.18028,-2.17944,-0.66693,-0.02397,-1.52182
61,-6.10695,-2.3861,-0.59654,-1.4152,-2.26404,-0.84019,-1.42637,-1.08063,-4.12063,-1.47635,-1.7886,-0.52855,-1.74227,-4.46607
62,-6.08678,-0.2458,-1.22659,-1.98903,-0.56026,-0.60226,-2.51806,-0.98007,-6.25295,-1.84702,-1.9552,-1.73806,-0.08408,-0.30096
63,-6.08597,-0.21895,-1.60827,-0.75036,-0.87371,-0.86786,-4.53454,-2.23261,-1.96472,-1.25189,-0.43697,-2.18587,-4.57608,-1.1677
64,-6.04589,-1.74433,-0.40858,-0.24836,-4.47278,-0.16163,-3.31065,-0.81322,-0.02512,-2.03145,-1.37681,-1.26865,-3.12226,-3.33786
65,-6.02832,-2.06134,-2.28977,-0.49114,-0.22751,-0.71839,-5.88281,-1.92924,-1.77617,-0.15986,-1.33771,-0.76494,-0.18172,-3.07259
66,-5.99673,-1.04167,-3.32908,-2.27411,-3.85368,-2.47079,-2.96071,-0.42447,-0.94609,-0.67212,-3.35694,-0.2431,-1.94452,-0.58493
67,-5.99121,-2.66409,-1.55588,-0.98815,-0.08525,-0.86577,-0.74073,-0.53737,-1.61791,-3.29737,-0.03498,-5.67281,-0.97181,-2.32374
68,-5.98445,-0.26543,-3.1328,-0.38551,-0.21625,-4.34517,-0.93357,-1.31257,-2.38148,-1.60439,-0.02604,-0.07601,-4.92965,-0.27883
69,-5.97623,-0.72038,-0.69467,-4.72961,-2.65293,-0.21863,-0.37792,-3.70808,-1.25658,-0.73087,-2.07477,-2.7513,-1.1215,-2.16568
70,-5.97321,-0.04361,-2.30983,-4.70508,-2.45684,-2.73692,-2.49481,-3.1492,-0.12973,-0.2569,-1.13541,-2.19396,-0.6234,-0.77685
71,-5.96423,-0.25545,-2.95138,-2.20028,-1.06652,-1.40745,-0.45044,-2.82725,-2.93864,-4.75988,-2.13266,-0.54532,-1.08072,-1.48001
72,-5.93293,-4.01336,-0.4266,-2.87063,-2.60171,-1.65036,-0.35728,-2.34004,-4.19873,-0.50743,-0.21795,-2.35936,-0.80625,-1.0118
73,-5.92914,-0.7161,-0.98138,-1.76668,-4.46113,-0.79228,-0.83306,-0.19189,-5.64537,-1.14988,-0.7684,-0.78927,-0.01597,-2.14055
74,-5.9247,-2.00985,-2.84428,-4.66123,-1.22317,-0.56425,-4.46111,-0.02076,-0.25663,-0.39838,-0.99208,-0.2957,-2.26822,-1.69822
75,-5.90927,-0.11262,-0.26254,-0.63924,-0.34191,-0.3197,-3.71065,-4.45842,-0.5072,-2.20214,-0.68385,-3.11852,-1.84525,-3.46702
76,-5.90231,-1.28641,-2.47484,-1.84614,-1.50282,-3.11109,-1.43145,-2.22343,-2.56496,-1.31882,-0.98457,-3.47,-3.57483,-0.9679
77,-5.8925,-1.18692,-0.71736,-1.76909,-3.57234,-2.78289,-3.8599,-1.92095,-0.87104,-1.11917,-2.10819,-3.29695,-1.50882,-1.23623
78,-5.88194,-0.93387,-2.77403,-0.24124,-0.70639,-1.32131,-1.04724,-3.19817,-0.97752,-1.27845,-0.31491,-1.18177,-3.68182,-5.05626
79,-5.86185,-0.85674,-1.51714,-1.02903,-1.16818,-2.22397,-1.98556,-1.81695,-2.02705,-3.51126,-0.86006,-3.83662,-2.15965,-3.38059
80,-5.86184,-1.97389,-3.90242,-2.76135,-0.31286,-1.95788,-1.10362,-2.58053,-2.24273,-1.80935,-2.9787,-2.8247,-0.77825,-1.14869
81,-5.86055,-0.73884,-4.18554,-0.17648,-0.64764,-3.34459,-0.39108,-2.71582,-0.37667,-3.34655,-1.13869,-1.65047,-2.99645,-2.02068
82,-5.83275,-2.59041,-2.7353,-0.76746,-0.11911,-0.28059,-0.40811,-2.87032,-4.72612,-1.0119,-3.5161,-2.20592,-0.99562,-1.05798
83,-5.83023,-4.62381,-3.66556,-0.61579,-1.18089,-0.48943,-0.51027,-0.70239,-2.61011,-4.29101,-0.71967,-1.59502,-0.35599,-0.1067
84,-5.82549,-2.97551,-1.5394,-3.64678,-1.54502,-0.02551,-1.30197,-1.22113,-3.44054,-0.52249,-0.25063,-0.89509,-2.74111,-3.93437
85,-5.81323,-1.3465,-1.63677,-2.51388,-0.4503,-1.52793,-0.84012,-3.94473,-4.14178,-2.13966,-3.23112,-0.04906,-1.44295,-1.52758
86,-5.80776,-0.45346,-5.25556,-3.15882,-2.76535,-0.05302,-2.83796,-0.17012,-0.14697,-0.38933,-0.77011,-1.80739,-1.41429,-2.58828
87,-5.80737,-0.73165,-1.96462,-4.41147,-0.15502,-0.0238,-3.56779,-4.32436,-1.156,-0.40134,-2.87698,-0.67743,-0.16899,-0.83828
88,-5.80653,-0.47611,-0.35428,-0.68676,-4.79941,-1.174,-0.95588,-0.67797,-0.31884,-3.03992,-1.01042,-5.09664,-1.38975,-1.18471
89,-5.79994,-1.42908,-0.58907,-0.03738,-0.30428,-3.65997,-0.88373,-1.84306,-1.20632,-5.85659,-1.42362,-1.80917,-2.28928,-0.09383
90,-5.7875,-1.48108,-2.40185,-1.49168,-2.52826,-2.378,-2.35087,-0.7126,-0.59208,-2.76166,-0.65579,-2.09057,-3.0473,-4.02144
91,-5.78518,-1.45412,-0.24994,-1.57038,-0.41555,-0.78154,-2.09176,-6.09722,-3.49871,-0.69447,-2.20935,-0.11278,-0.38313,-1.33778
92,-5.77983,-1.76757,-0.53299,-0.78348,-3.1388,-1.29592,-1.0731,-2.17625,-1.27243,-4.00265,-2.11894,-1.92135,-4.26685,-1.06039
93,-5.77958,-1.98409,-0.27881,-2.00909,-3.77765,-2.07784,-2.7841,-2.92345,-1.52576,-2.31544,-3.25398,-1.76988,-1.3939,-0.5539
94,-5.77228,-0.75357,-0.55261,-0.12792,-1.7359,-0.882,-2.15194,-1.83024,-0.4937,-1.41723,-0.14063,-2.09385,-0.08572,-6.88155
95,-5.75459,-4.01544,-1.06297,-2.07135,-2.8212,-2.10372,-1.71287,-0.32891,-2.42058,-1.74316,-1.4975,-1.31972,-3.55954,-2.08838
96,-5.74999,-0.07217,-0.84664,-1.18892,-1.51589,-4.97154,-3.11858,-0.83268,-2.57382,-0.92239,-4.45768,-0.08569,-0.0845,-0.09193
97,-5.74728,-2.77335,-1.86123,-0.47889,-1.55095,-1.42105,-0.08866,-3.33011,-4.77375,-1.07959,-0.93504,-3.06428,-0.73822,-2.3018
98,-5.74265,-2.17738,-1.4605,-1.06693,-2.81748,-2.49715,-2.24289,-1.08138,-1.81835,-0.6864,-5.0745,-2.01104,-2.24722,-0.11589
99,-5.74197,-1.02407,-0.36584,-3.22709,-3.06442,-2.29775,-2.16025,-0.24502,-3.78639,-1.7257,-1.4463,-0.09541,-3.8424,-1.3625
100,-5.73561,-2.40586,-2.5083,-5.03989,-0.9762,-1.97341,-2.44061,-0.08942,-2.53958,-0.88633,-1.0024,-1.25481,-2.01272,-2.22379
101,-5.72459,-1.76964,-1.50258,-0.21236,-2.60616,-0.24764,-0.46142,-0.75379,-2.93223,-4.2721,-0.30226,-1.01292,-1.38709,-4.92645
102,-5.6788,-0.3502,-2.55601,-3.49496,-2.91994,-1.15977,-2.10505,-1.15504,-1.47262,-3.69904,-2.65496,-3.20061,-0.22836,-0.21877
103,-5.67808,-3.89049,-0.11213,-0.11138,-0.06247,-1.34128,-2.3821,-3.04544,-3.84298,-1.82792,-3.4502,-1.48139,-0.36185,-1.8728
104,-5.67678,-2.85306,-0.74442,-4.04601,-0.16215,-1.93134,-2.2373,-1.50741,-0.24356,-2.67208,-2.56953,-3.38183,-2.34355,-0.97208
105,-5.66855,-1.82123,-3.67656,-1.32654,-1.3126,-2.2465,-1.1376,-1.25253,-0.13054,-1.1381,-5.06681,-3.32392,-0.9631,-0.82487
106,-5.66662,-0.34402,-4.56589,-0.42867,-0.96031,-1.34742,-0.98558,-0.54544,-1.36705,-3.79274,-0.86864,-2.14683,-3.5411,-2.92862
107,-5.66432,-3.47285,-3.66366,-2.04899,-0.2793,-0.61927,-0.84652,-0.21066,-1.84717,-4.11427,-0.80765,-2.83203,-2.45548,-1.40366
108,-5.66135,-0.27905,-1.44178,-3.16062,-1.1491,-0.8966,-3.08163,-1.52259,-1.42148,-0.99332,-0.1335,-4.91092,-2.28607,-3.08148
109,-5.66055,-2.06897,-1.09136,-1.88922,-0.46336,-0.88274,-1.17131,-3.30595,-0.49976,-0.70529,-2.97215,-0.38357,-0.93196,-5.91824
110,-5.65437,-1.91668,-5.14087,-2.52801,-0.69133,-0.13627,-3.9046,-0.30151,-0.75963,-0.11367,-0.26653,-1.91776,-3.05661,-1.42126
111,-5.63927,-2.94446,-1.711,-3.2917,-2.10482,-0.7356,-5.24883,-0.86905,-0.88314,-0.15085,-1.3101,-1.22248,-2.36139,-1.70281
112,-5.62959,-2.00511,-1.76234,-4.10377,-0.37505,-1.24135,-0.11018,-3.2835,-0.39633,-0.75302,-4.00745,-0.55394,-3.8431,-0.07239
113,-5.62926,-0.48834,-2.00964,-3.8148,-4.67612,-2.66628,-1.65673,-3.70122,-1.48808,-0.26804,-0.60171,-0.86964,-0.09426,-0.80579
114,-5.62622,-3.07081,-2.12311,-1.40875,-6.11201,-0.08045,-1.25877,-0.81729,-1.53892,-1.79506,-1.62839,-1.68976,-0.05424,-1.30677
115,-5.61962,-2.20437,-2.63881,-0.82951,-2.11926,-1.19343,-2.43851,-1.80058,-2.74221,-3.87479,-2.42937,-1.22999,-1.61677,-2.87103
116,-5.61754,-1.08466,-3.27765,-1.72719,-5.15532,-0.59345,-1.16176,-0.01779,-3.33163,-1.7418,-1.88174,-1.60426,-0.5218,-2.1773
117,-5.61315,-0.74898,-0.12261,-3.52263,-1.05063,-3.57,-0.7089,-0.70696,-0.93128,-1.40453,-2.85372,-0.81197,-5.35195,-0.60846
118,-5.60801,-1.50348,-0.82726,-1.71814,-0.4522,-0.79007,-2.42079,-6.49633,-0.11791,-1.56434,-1.9126,-1.52499,-1.6126,-1.64836
119,-5.59558,-1.4807,-0.61744,-1.53731,-0.0926,-1.68881,-4.07103,-1.19413,-1.39445,-4.22745,-1.77939,-1.02744,-1.83082,-3.93738
120,-5.5826,-0.5677,-4.20385,-0.65275,-2.29539,-0.2244,-0.07973,-2.48247,-4.10708,-3.95845,-0.24699,-0.6411,-0.47263,-2.38598
121,-5.57857,-2.62502,-1.40886,-1.57945,-0.68294,-1.14679,-1.5264,-1.8311,-2.6771,-3.84623,-5.02158,-0.45629,-1.54207,-0.5312
122,-5.57617,-2.6583,-0.58031,-2.51206,-1.95414,-1.35183,-1.11175,-1.69363,-0.70588,-4.56315,-1.554,-2.92533,-2.57801,-2.55008
123,-5.56224,-1.64677,-0.98914,-2.89742,-1.393,-3.25858,-4.00623,-1.33377,-3.16095,-0.33229,-1.65442,-2.58476,-1.67093,-2.06796
124,-5.5528,-1.68402,-3.17211,-1.35174,-3.82093,-1.83981,-2.78612,-0.18663,-2.00633,-0.15364,-0.34728,-3.8455,-3.02307,-0.75027
125,-5.55144,-3.06392,-2.12839,-3.37774,-1.83278,-1.28194,-1.76005,-1.21052,-3.32786,-1.25389,-4.10257,-0.1981,-1.95681,-0.97106
126,-5.52145,-1.68306,-1.10298,-0.45837,-0.3539,-2.58038,-1.2941,-2.99243,-1.35966,-0.80389,-5.94926,-2.54991,-0.91213,-1.61822
127,-5.51823,-1.77752,-1.51414,-0.35261,-0.50525,-1.16578,-3.69757,-5.14362,-1.75688,-0.49549,-3.03235,-0.26939,-2.41164,-1.95282
128,-5.50416,-4.72939,-3.5647,-0.60288,-2.21511,-5.03247,-0.05161,-0.98982,-0.19511,-0.0175,-0.65743,-0.75478,-1.41547,-0.08868
129,-5.49259,-2.74301,-1.66824,-2.35633,-3.03803,-4.83618,-0.18545,-1.54515,-2.64786,-2.48935,-0.84821,-0.12848,-1.12333,-1.93028
130,-5.48959,-0.57323,-0.43494,-2.49745,-1.70219,-1.26002,-0.85808,-3.09928,-1.56736,-1.31626,-2.44378,-0.47836,-1.68171,-5.9215
131,-5.45931,-1.28388,-3.10944,-2.38766,-1.48485,-0.79986,-5.74735,-3.39615,-1.29988,-0.4959,-0.06822,-0.12641,-1.93489,-0.25998
132,-5.44565,-0.67116,-3.30623,-0.83631,-0.59485,-1.97307,-1.0523,-5.17961,-1.14927,-2.18339,-3.60355,-2.62447,-0.34641,-0.00052
133,-5.43865,-0.65048,-1.36467,-0.01416,-1.06549,-2.8897,-1.0233,-1.06637,-0.07999,-0.00251,-2.34212,-2.12543,-2.38122,-6.38639
134,-5.43289,-0.46158,-0.47079,-1.44938,-2.25951,-0.3164,-5.62294,-1.25046,-0.15817,-1.43148,-2.89899,-0.32774,-3.27801,-2.86891
135,-5.43227,-4.59028,-3.61071,-3.32315,-0.78535,-1.64959,-0.82614,-0.83625,-2.85442,-1.58974,-2.23429,-0.83854,-1.96823,-0.61261
136,-5.42912,-3.71717,-1.32057,-3.06632,-2.58171,-0.82009,-0.49689,-3.25657,-1.44018,-3.21388,-0.42033,-2.86916,-2.25459,-1.21493
137,-5.42875,-0.59799,-0.32334,-1.08375,-0.95741,-0.22889,-3.6226,-2.89769,-3.47992,-3.12819,-0.95636,-2.01406,-3.17101,-3.07919
138,-5.42651,-1.1936,-5.44887,-1.16754,-1.31934,-4.14852,-1.35326,-1.8977,-3.30552,-0.30368,-0.79484,-0.62067,-0.37617,-1.23065
139,-5.41937,-1.58078,-4.31255,-4.90572,-0.62912,-2.30782,-0.67947,-1.77541,-2.13634,-1.24409,-0.95592,-2.55522,-1.36392,-0.8467
140,-5.41413,-3.49525,-3.53908,-0.39197,-1.86947,-2.00472,-0.20547,-3.47192,-3.48228,-1.37588,-1.01222,-2.03004,-2.62706,-0.33905
141,-5.39299,-0.26511,-2.16493,-2.58187,-0.3758,-1.20581,-1.86259,-2.60989,-5.43142,-2.87451,-1.43966,-0.13777,-2.78433,-0.09607
142,-5.38455,-6.16243,-3.1072,-2.36954,-1.22662,-0.78413,-1.29783,-0.68059,-1.25221,-1.19442,-0.01907,-0.22772,-3.15138,-0.71865
143,-5.38211,-1.13516,-0.29373,-0.30598,-0.15049,-2.41583,-6.08646,-2.28693,-1.17314,-3.22078,-2.07235,-0.47107,-1.22628,-1.91323
144,-5.37092,-2.60648,-4.23501,-1.34716,-0.51478,-3.70197,-2.80048,-0.23488,-0.25838,-4.13969,-1.58392,-0.00378,-1.64598,-0.5658
145,-5.37024,-1.41075,-1.05057,-4.75167,-2.08501,-2.69882,-3.90899,-0.71436,-0.7317,-0.64157,-3.87333,-0.5834,-1.32545,-0.14156
146,-5.34467,-1.49765,-2.88222,-0.6969,-0.52132,-5.3923,-1.08725,-0.7778,-0.07664,-4.19774,-2.74042,-0.13658,-2.01242,-0.23995
147,-5.33912,-1.33001,-3.57391,-1.65171,-3.41293,-2.9682,-3.6018,-3.51095,-0.23735,-1.42771,-1.10133,-1.77692,-1.29095,-0.57811
148,-5.33802,-3.39074,-2.53406,-0.62824,-3.25419,-1.21905,-0.99823,-2.27446,-0.41899,-0.00644,-4.08536,-3.92982,-0.53932,-1.53193
149,-5.32175,-0.78239,-3.91974,-0.32209,-3.13923,-0.28275,-2.31355,-3.15359,-4.89431,-0.24224,-1.61145,-0.75287,-1.45343,-1.03794
150,-5.30528,-5.37905,-0.60553,-1.40388,-0.76545,-1.27942,-0.19564,-2.74547,-1.41296,-0.84713,-2.61331,-1.55282,-3.77384,-2.1417
151,-5.29848,-3.045,-2.44091,-0.86673,-0.61757,-4.35515,-2.70169,-1.33813,-1.66737,-1.01202,-3.19298,-1.14094,-1.80629,-2.99041
152,-5.28486,-1.17121,-1.35705,-1.46475,-0.5711,-0.02139,-3.51514,-2.13083,-2.9012,-3.09475,-0.50328,-4.60798,-1.6109,-2.72249
153,-5.2541,-2.64785,-1.1024,-2.32171,-0.17129,-2.30222,-1.42352,-6.10708,-1.1237,-1.42259,-3.02987,-0.44366,-1.13186,-0.42526
154,-5.25388,-4.49157,-0.8245,-4.24518,-0.93189,-0.06877,-0.67934,-2.02453,-0.39386,-1.84644,-2.0161,-3.82848,-2.00785,-1.33039
155,-5.24638,-1.73129,-1.99912,-3.30506,-0.79892,-3.33305,-2.78658,-0.25589,-0.07097,-0.30835,-0.34088,-4.16963,-4.14926,-0.4022
156,-5.2414,-0.83932,-4.05124,-0.52932,-1.825,-3.84854,-0.25815,-0.47547,-3.28642,-0.8197,-0.96506,-3.30777,-2.52714,-2.63901
157,-5.24116,-0.78742,-3.04106,-1.43851,-3.62444,-1.34082,-1.57496,-1.62568,-1.28272,-4.86166,-1.73615,-2.4588,-1.34464,-2.09428
158,-5.23884,-0.12103,-0.40143,-4.06041,-0.15152,-4.40836,-3.1913,-0.63638,-0.98248,-0.27049,-1.17151,-2.37128,-4.19227,-0.48672
159,-5.23454,-2.57952,-0.71582,-0.08165,-1.32624,-2.54826,-1.695,-1.67332,-0.90313,-0.75272,-0.87001,-0.71704,-6.30857,-3.00827
160,-5.23059,-1.48355,-2.28431,-3.40433,-3.72932,-0.20559,-0.27176,-0.00285,-2.85343,-3.8683,-0.04521,-2.81392,-2.67697,-1.19014
