leaf_index,r0,r1,r2,r3,r4,r5
166,-2.08233,-3.59368,-6.7201,-3.24172,-1.47374,-4.99088
167,-2.08089,-7.27369,-3.90446,-1.42708,-2.61385,-4.31854
168,-2.08067,-5.17254,-5.25671,-4.65306,-2.00591,-3.9507
169,-1.99416,-0.29447,-0.62265,-6.7176,-0.67491,-7.06876
170,-1.97357,-2.07107,-2.0463,-1.54082,-1.50052,-9.11058
171,-1.96314,-0.83003,-4.03799,-3.19814,-7.68074,-3.15118
172,-1.9623,-1.21124,-6.59081,-3.59467,-3.27165,-5.2553
173,-1.89079,-0.97326,-3.66448,-2.6332,-7.47889,-4.3797
174,-1.81615,-4.31785,-1.73654,-6.84847,-4.75791,-2.34583
175,-1.79304,-1.78679,-6.29795,-7.05924,-1.94281,-0.5664
176,-1.72289,-3.34624,-5.74427,-6.34634,-3.34513,-1.17125
177,-1.7151,-0.70648,-2.49471,-7.56728,-3.81865,-4.29999
178,-1.71168,-5.20006,-4.72708,-3.27262,-6.05693,-0.53649
179,-1.69956,-7.54452,-0.59062,-5.52184,-0.72549,-2.97082
180,-1.67179,-6.99193,-5.62583,-1.9793,-3.31433,-1.32881
181,-1.64682,-3.28124,-0.67968,-6.95756,-5.6,-2.50834
182,-1.63259,-1.77842,-4.11748,-0.34742,-3.9179,-7.85796
183,-1.60274,-5.91234,-0.6878,-3.8349,-6.87685,-0.07043
184,-1.59301,-0.97601,-8.15081,-2.66666,-4.74267,-0.68557
185,-1.5755,-1.15285,-1.33844,-9.55192,-0.13054,-1.77233
186,-1.56221,-5.15836,-7.35179,-0.8411,-3.54274,-1.9088
187,-1.52625,-3.21751,-6.40223,-2.48654,-1.49283,-6.15777
188,-1.51036,-0.80399,-5.9303,-7.48065,-1.6859,-1.76115
189,-1.46539,-2.68915,-2.99834,-6.20205,-4.82374,-4.46062
190,-1.4566,-0.47613,-2.75414,-8.48373,-2.60063,-3.36592
191,-1.43057,-5.63609,-3.07129,-1.23925,-6.78684,-3.02626
192,-1.38259,-1.9355,-4.90656,-1.62967,-3.48376,-7.44819
193,-1.35157,-0.28905,-2.18312,-4.28843,-4.07363,-7.63797
194,-1.3409,-6.33348,-2.30549,-2.95929,-0.12134,-6.63337
195,-1.30752,-7.22003,-1.46245,-3.57589,-3.29301,-4.51574
196,-1.30308,-4.68612,-2.56646,-6.50419,-4.46185,-2.74645
197,-1.29617,-2.03985,-2.95102,-6.50543,-3.25479,-5.70405
198,-1.27619,-1.15488,-0.81198,-6.28729,-0.27905,-7.53461
199,-1.25192,-5.86179,-5.16188,-1.05042,-2.92263,-5.27086
200,-1.23837,-7.30397,-4.88233,-1.98159,-3.33856,-2.49172
201,-1.19571,-7.7029,-1.81107,-4.82185,-3.39239,-1.09408
202,-1.16181,-0.198,-0.88359,-6.87441,-2.17024,-6.77221
203,-1.15414,-8.8499,-0.8157,-1.11201,-3.39512,-2.63029
204,-1.14781,-7.93883,-0.48152,-4.31965,-2.87237,-2.9182
205,-1.13993,-3.83412,-1.87466,-6.37755,-6.23246,-0.98439
206,-1.13878,-5.53318,-3.94242,-7.24018,-0.2609,-0.2369
207,-1.13212,-5.81376,-6.47825,-1.55321,-3.27035,-3.13737
208,-1.08614,-0.78796,-2.37236,-4.83499,-0.05129,-8.31814
209,-1.08286,-0.86327,-6.33479,-2.12007,-5.61908,-4.67803
210,-1.05927,-2.50133,-3.2385,-2.55829,-5.2087,-6.96118
211,-1.05281,-3.39537,-7.37078,-1.13722,-5.47469,-1.33007
212,-1.00383,-1.29569,-9.0407,-3.48432,-0.05346,-1.85363
213,-0.99746,-1.23969,-4.57411,-3.92365,-7.2558,-2.9162
214,-0.98579,-0.62752,-0.91377,-7.47761,-5.40708,-3.55643
215,-0.95698,-4.44061,-2.02196,-6.67862,-4.26591,-3.53198
216,-0.94713,-3.4341,-5.48906,-4.93089,-1.42288,-5.55354
217,-0.92252,-3.00795,-5.1453,-6.76442,-3.20741,-2.75359
218,-0.84499,-1.806,-3.54146,-1.39596,-9.02383,-0.32294
219,-0.78021,-6.87877,-0.59356,-2.42384,-6.76313,-0.32654
220,-0.7686,-2.02709,-1.53563,-3.80727,-7.56071,-4.61329
221,-0.76676,-3.28852,-4.04364,-2.58188,-8.04715,-0.90767
222,-0.75975,-0.18082,-7.81007,-1.82362,-3.56864,-4.72569
223,-0.75807,-4.27127,-2.45163,-1.41922,-2.50296,-8.17876
224,-0.74412,-0.09007,-4.38819,-6.96684,-4.44287,-3.45051
225,-0.7151,-2.43377,-9.30596,-1.34803,-0.59303,-2.18989
226,-0.70603,-2.33028,-0.27235,-0.84424,-7.75039,-5.76333
227,-0.70199,-3.82511,-3.83503,-3.46775,-0.92798,-7.56848
228,-0.67557,-6.34044,-0.1797,-4.68775,-6.10418,-0.27217
229,-0.66918,-6.59581,-4.40803,-3.71641,-4.45163,-1.72859
230,-0.66488,-8.7189,-0.90691,-0.88119,-0.32842,-4.67245
231,-0.63978,-1.24941,-3.72112,-3.17482,-8.48159,-1.47176
232,-0.62854,-3.37274,-6.8884,-4.58026,-2.10598,-3.9199
233,-0.61144,-3.2263,-5.79652,-2.64375,-2.48076,-6.51721
234,-0.55311,-2.94698,-5.36784,-1.68644,-3.85672,-6.66913
235,-0.54784,-1.93869,-7.45631,-0.37898,-5.92859,-2.24788
236,-0.51292,-5.45845,-0.25776,-3.09313,-4.73611,-6.15448
237,-0.49508,-2.00637,-3.48921,-0.87141,-7.33934,-5.37862
238,-0.41404,-1.72895,-3.37954,-8.49223,-3.64239,-0.18171
239,-0.4101,-5.16792,-3.72273,-5.30102,-3.30018,-4.50263
240,-0.38116,-0.7106,-0.80677,-6.39346,-7.21559,-2.39955
241,-0.34041,-1.71638,-6.17985,-6.9675,-1.25577,-2.93675
242,-0.28399,-1.30654,-3.99285,-4.87863,-5.70632,-5.08984
243,-0.22645,-0.09177,-4.76943,-3.13411,-6.9005,-4.44445
244,-0.21119,-7.27266,-0.14958,-0.29315,-4.80231,-4.88808
245,-0.20107,-4.95192,-1.02766,-6.15795,-0.7463,-5.99205
246,-0.11393,-4.30756,-5.59451,-2.18686,-3.71601,-5.61626
247,-0.10417,-5.07814,-4.9878,-3.87722,-0.45043,-5.83847
248,-0.09656,-3.58191,-2.35111,-4.63192,-5.73094,-5.22824
249,-0.09592,-2.45899,-4.37412,-6.06283,-5.27284,-3.20165
250,-0.0951,-5.26575,-1.55287,-2.38846,-7.0051,-3.88269
251,-0.07686,-2.175,-7.1592,-3.10135,-4.75746,-3.42893
252,-0.07505,-1.02327,-4.67854,-1.69833,-7.2126,-4.70666
253,-0.06087,-7.65949,-0.69874,-4.82766,-1.32514,-3.97215
254,-0.03042,-5.24804,-5.10341,-6.80347,-0.24835,-0.2517
255,-0.00085,-0.30605,-7.72418,-5.00255,-0.55014,-3.86201
