leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,is_dominated,ground_truth_pareto
69,4.81175,2.38634,1.32108,1.57516,0.83019,4.24529,6.94174,0.16333,0,1
70,4.76266,1.65606,3.12542,2.3892,3.46834,6.57725,0.81273,1.77423,0,1
71,4.75432,5.4099,4.87809,2.19114,0.77773,3.49641,1.82568,1.83566,0,1
72,4.72335,2.31703,3.81099,2.57702,0.02686,5.18711,3.78448,3.1508,0,1
73,4.7127,0.86361,5.12289,3.84719,3.50958,2.30355,1.85141,3.86634,0,1
74,4.71029,0.10182,1.12993,2.73272,0.10514,5.9383,5.23294,2.52985,0,1
75,4.68342,0.12272,0.0,3.641,0.0,0.50201,1.10276,3.428,1,0
76,4.62525,4.71779,3.38403,0.49375,3.69289,4.16221,2.60457,2.62846,0,1
77,4.61779,2.16055,6.34291,0.53137,1.04235,0.4388,1.90118,5.34787,0,1
78,4.54272,4.83891,3.16106,2.38171,3.19677,4.88901,2.42526,0.52928,0,1
79,4.52878,0.08457,4.16894,0.22179,0.31156,0.86882,7.55688,2.02371,0,1
80,4.50405,2.9777,2.41279,4.04818,4.02801,0.55251,4.6592,3.22477,0,1
81,4.50312,0.78139,5.87959,2.65211,1.81991,1.30588,5.17406,2.39161,0,1
82,4.46543,5.70053,1.63316,1.63262,4.36979,4.0779,1.01773,2.33903,0,1
83,4.42448,2.57323,3.57886,2.83203,2.74801,2.78066,2.69896,5.51414,0,1
84,4.40386,3.44218,5.61274,1.89558,1.48038,2.34776,1.59635,4.83833,0,1
85,4.37479,0.16115,0.75752,8.12791,0.78948,0.06162,0.94204,3.56145,0,1
86,4.35369,2.22444,3.27808,0.754,5.70884,0.84107,0.84957,5.54643,0,1
87,4.33679,0.0,0.0,0.96985,0.0,1.18534,1.23738,2.88299,1,0
88,4.329,1.91435,5.58197,2.35483,2.58161,3.74433,0.12109,4.49356,0,1
89,4.31623,3.32506,5.24875,2.87297,1.40286,5.56239,0.08419,1.26314,0,1
90,4.29304,0.00701,2.54053,2.18671,2.38673,2.37437,3.39851,6.88838,0,1
91,4.29294,5.8816,2.19624,2.97267,5.51501,0.18868,1.69089,0.08489,0,1
92,4.28275,2.11638,6.4903,1.9063,3.27543,1.68359,2.51837,3.39351,0,1
93,4.28065,1.44832,0.68204,5.13796,0.71913,4.48265,2.07568,5.27207,0,1
94,4.2665,3.45101,1.9233,2.16558,4.35394,2.94124,3.60734,4.56926,0,1
95,4.25502,0.0,5.96322,0.0,0.11001,0.0,0.0,0.0,1,0
96,4.25308,1.58752,5.45493,1.70871,1.784,5.89334,0.88352,2.83204,0,1
97,4.25225,0.7643,3.43403,2.38027,5.12375,0.4869,6.05823,0.82699,0,1
98,4.22317,2.6846,0.94756,1.29206,6.81062,3.98135,3.01109,1.04312,0,1
99,4.20056,5.33574,1.1127,2.98126,1.64964,4.01557,3.36089,3.69017,0,1
100,4.19859,1.43571,6.88991,1.85053,4.2585,0.15257,0.34011,3.33788,0,1
101,4.17352,2.73621,4.73127,3.19994,1.67126,2.10655,5.37118,2.52787,0,1
102,4.15486,0.04492,3.71656,0.93157,1.5424,1.22101,2.34606,7.66033,0,1
103,4.10556,1.49055,0.22673,4.89095,0.19223,0.29935,6.74914,3.35742,0,1
104,4.09931,2.6934,5.74037,3.52448,2.9231,1.34343,2.99109,3.3573,0,1
105,4.0953,3.04422,1.26959,4.09569,0.85814,5.3279,0.61554,5.10616,0,1
106,4.06788,3.07138,5.08332,1.19858,3.02407,1.02597,2.00921,5.70155,0,1
107,4.01812,1.6494,1.05432,6.96629,3.97716,3.45968,1.25036,1.46385,0,1
108,4.00566,0.04677,0.81535,4.70539,6.05052,2.65379,1.35815,3.95613,0,1
109,4.00071,0.32133,3.52642,3.30469,2.29066,5.74863,4.17393,2.19522,0,1
110,3.99605,1.52043,4.16783,6.03577,0.13939,2.20322,1.49108,4.56307,0,1
111,3.98208,3.12238,5.25002,1.65577,3.25829,0.21201,1.28523,5.63704,0,1
112,3.91891,0.83498,0.53785,2.06442,7.78987,0.98819,1.72871,3.84016,0,1
113,3.88755,1.30922,2.59528,3.08288,1.12465,4.92065,6.33361,1.15801,0,1
114,3.88503,1.97801,3.57618,3.58294,0.27731,3.33641,2.81693,6.01862,0,1
115,3.88481,2.06317,0.0,1.58835,0.0,0.0,2.21049,0.08131,1,0
116,3.87795,5.75515,3.85582,3.11007,0.19082,1.1021,4.21636,2.87597,0,1
117,3.87156,3.73586,5.07259,5.03971,1.96073,0.68534,0.34174,3.93619,0,1
118,3.87028,3.6147,0.73142,1.05275,6.98036,3.34937,0.85093,3.10544,0,1
119,3.85466,0.8482,3.92239,1.39978,3.46941,7.13165,1.79362,0.98155,0,1
120,3.84673,2.02459,4.09187,5.7507,2.13177,0.03299,5.14572,0.51546,0,1
121,3.8411,4.68206,0.24381,4.77339,0.32488,2.95307,2.09614,5.22108,0,1
122,3.82466,0.72093,0.93533,3.87735,1.97998,0.0,0.0,0.0,1,0
123,3.81846,5.01778,5.15854,4.0553,0.76144,4.02965,0.03596,0.60506,0,1
124,3.79909,1.40114,0.95889,3.70841,3.89724,6.57486,1.88861,2.63587,0,1
125,3.77403,0.66106,0.81121,5.01185,3.07938,1.31592,5.39576,4.38343,0,1
126,3.76763,7.06173,2.67522,2.74836,2.09093,1.77522,1.39561,3.42864,0,1
127,3.7613,0.58834,3.13189,4.08401,2.25989,0.26654,6.80422,2.74645,0,1
128,3.72848,0.76515,2.70907,1.64168,4.26401,6.47143,3.07603,2.44041,0,1
129,3.70981,1.25586,3.19091,7.54195,2.29012,0.16687,1.39758,3.22048,0,1
130,3.69696,0.0,0.63408,0.60171,0.0,0.89409,1.43843,5.15341,1,0
131,3.68737,2.35463,4.55592,2.67008,4.38035,2.82338,4.99809,0.9129,0,1
132,3.66204,4.04195,1.55205,7.14541,0.56411,1.31293,3.59276,1.35518,0,1
133,3.65923,2.80292,3.57972,6.48452,3.64453,0.94203,3.10858,0.23882,0,1
134,3.65004,7.91507,0.67394,0.54227,1.22184,3.1056,3.44999,0.49047,0,1
135,3.63347,0.8385,2.00751,2.33997,3.17005,2.84233,2.03201,7.37104,0,1
136,3.62184,0.70646,1.74068,1.98434,6.27659,4.06252,3.80359,3.00812,0,1
137,3.58886,8.02958,1.13619,2.5456,3.18399,0.37941,0.87908,1.9546,0,1
138,3.58581,4.13832,3.08241,1.67647,2.627,4.76979,4.13756,3.30652,0,1
139,3.58264,1.23229,0.42152,1.12107,6.27115,6.67604,0.22301,0.5149,0,1
140,3.57009,3.93246,2.23784,6.71849,3.36278,0.08194,2.34207,2.20088,0,1
141,3.56107,2.14325,0.61422,3.97876,2.4977,5.38118,5.36576,1.59074,0,1
142,3.55483,6.66583,0.18587,0.84591,2.69775,2.50035,4.48116,2.92734,0,1
143,3.51886,1.15348,0.5922,3.94446,7.04937,1.91974,2.97506,2.8544,0,1
144,3.51465,4.06902,1.65086,4.94902,0.20902,1.85184,5.96591,2.1925,0,1
145,3.51322,1.48812,3.20583,0.04574,4.27523,0.97002,3.52833,6.59513,0,1
146,3.50252,0.71496,4.88682,1.30498,6.81912,0.07078,3.63704,1.37974,0,1
147,3.48276,2.90636,4.01312,5.08272,1.4134,5.73845,1.58032,0.24385,0,1
148,3.4816,0.34656,1.48266,3.23737,7.47258,1.63934,2.41216,3.27629,0,1
149,3.47318,2.72907,1.07486,0.08346,1.01303,2.6894,5.12975,6.68981,0,1
150,3.46236,3.16809,4.76728,0.68289,5.01009,1.57936,5.19291,0.46926,0,1
151,3.46187,0.26372,1.62651,0.45442,0.0,4.41105,0.0,0.0,1,0
152,3.45573,3.24457,6.07111,3.56712,0.1741,3.76744,1.84239,3.21398,0,1
153,3.38878,4.04866,0.73628,2.88796,6.27058,3.12879,2.72001,2.59502,0,1
154,3.38708,1.86487,5.33171,4.19739,0.7196,1.25426,5.3522,2.87538,0,1
155,3.37449,4.5034,2.13525,6.19581,3.63238,0.31448,3.03043,1.70534,0,1
156,3.37005,1.04692,5.94176,3.00813,3.15652,4.19419,3.73752,1.29211,0,1
157,3.35937,5.37947,3.76324,3.53038,3.41435,0.28633,1.70494,4.30161,0,1
158,3.35565,6.10231,5.6623,2.23736,0.17,0.70409,3.72894,0.06532,0,1
159,3.31817,7.12637,1.09374,2.47527,0.37405,0.00059,5.07753,2.22714,0,1
160,3.29337,4.22347,1.34302,1.47816,5.01708,4.28692,0.51533,4.84901,0,1
161,3.28504,0.0,4.46243,0.0,2.8817,0.0,0.0,2.52513,1,0
162,3.28394,2.51323,5.03271,2.09604,1.75061,1.92629,3.17951,6.02439,0,1
163,3.27529,5.33063,1.50663,3.85032,4.05682,1.43898,3.92946,3.12936,0,1
164,3.25367,4.63744,6.08896,1.32712,1.33579,1.54062,4.92,0.84073,0,1
165,3.24354,0.1614,7.28554,2.01956,4.18516,0.40796,3.33267,1.87267,0,1
166,3.24179,3.88466,6.274,1.90226,2.73399,0.21777,1.30355,4.71139,0,1
167,3.18245,2.39141,7.01857,2.7085,2.76489,2.97738,3.07184,1.26937,0,1
168,3.16053,1.27404,2.85965,6.12356,4.91865,1.39792,3.70289,1.68926,0,1
169,3.15763,2.89709,5.35675,2.40213,3.42153,0.2047,3.98384,4.4217,0,1
170,3.14362,4.07083,3.64546,2.35884,3.34557,0.13467,2.66096,6.03331,0,1
171,3.13898,2.64278,1.33278,4.89083,0.46931,7.51844,0.56425,0.63285,0,1
172,3.1325,3.49419,1.53591,2.03637,3.77884,0.84257,5.61859,4.99141,0,1
173,3.11146,0.54934,4.91571,0.61452,2.83326,2.56505,2.94302,6.49669,0,1
174,3.09353,0.56157,2.8188,0.0,1.04227,0.0,0.0,0.0,1,0
175,3.07788,0.94188,0.66016,3.90825,2.55435,2.23202,6.3717,4.67162,0,1
176,3.07535,2.99458,4.5758,0.90115,4.95505,1.49415,3.45531,4.59353,0,1
177,3.05666,3.61098,4.74447,5.14176,3.71338,3.6268,0.32581,1.27316,0,1
178,3.0556,2.18592,6.34689,2.52836,4.56748,3.29305,2.18726,1.64902,0,1
179,3.01587,5.32334,0.32861,6.30029,3.71416,1.50902,2.33515,1.11354,0,1
180,3.01064,6.10607,1.60696,5.79643,2.25123,1.79926,2.51743,1.68173,0,1
181,2.9911,0.12181,3.89229,4.11579,4.31814,5.34836,0.33127,3.40409,0,1
182,2.94564,0.62337,0.0,0.56702,0.0,2.83481,4.69068,0.0,1,0
183,2.94387,5.94175,5.1773,3.29474,2.67063,2.4797,1.85503,1.28346,0,1
184,2.88796,2.12941,0.08448,5.93491,0.86873,3.67387,1.11239,6.0337,0,1
185,2.83928,0.26549,4.7234,2.00498,6.36768,0.34086,0.86754,4.91135,0,1
186,2.81653,2.73097,2.97165,0.00784,5.55096,3.13969,4.53516,3.81309,0,1
187,2.77321,6.03161,0.0955,0.83584,1.29787,0.04917,5.52426,4.79759,0,1
188,2.76367,1.88136,1.75017,5.00494,2.19015,4.3646,5.43946,2.69738,0,1
189,2.76258,1.53649,5.6954,4.5231,2.00967,4.61011,0.35352,3.41972,0,1
190,2.75161,6.19698,3.4165,5.56904,0.95818,3.08471,0.87025,0.38547,0,1
191,2.74404,1.66581,5.07618,5.28066,3.46997,3.61807,0.42599,3.27563,0,1
192,2.72401,6.77009,0.78213,3.52296,1.1332,1.22755,0.89384,5.48932,0,1
193,2.72393,3.94732,2.16503,2.27645,7.13126,2.90401,2.79923,0.07451,0,1
194,2.72355,1.71109,6.44187,2.94196,3.41127,3.61223,3.78821,0.68267,0,1
195,2.67705,1.22563,3.4786,0.57167,0.30716,6.84968,3.85835,4.12364,0,1
196,2.66065,3.30292,0.52499,4.84251,4.63116,0.82371,2.78144,5.33138,0,1
197,2.65879,0.8793,4.92288,0.0,0.0,1.09395,0.0,0.006,1,0
198,2.65261,3.38363,1.87905,6.02567,1.5291,0.40241,0.57855,6.2322,0,1
199,2.64484,0.4217,2.0575,7.7554,0.30261,5.21115,0.65972,0.87442,0,1
200,2.64375,2.46503,3.09844,1.84649,0.78229,0.52434,1.36896,8.43584,0,1
201,2.63193,2.27712,0.81012,8.32317,1.44183,1.61262,1.40548,3.36177,0,1
202,2.62771,2.34717,3.2747,0.7094,0.34149,4.73925,1.0553,7.25729,0,1
203,2.62118,0.63875,3.92413,2.5157,6.09987,2.44838,5.26694,0.22432,0,1
204,2.6058,2.40742,5.4106,4.61867,0.76801,5.13034,2.136,2.30972,0,1
205,2.59363,0.22735,4.63837,0.0,1.77067,0.0,0.0,2.88925,1,0
206,2.58606,2.18662,5.13245,1.2049,2.57699,3.86169,4.03064,4.78933,0,1
207,2.57208,4.13833,5.18672,2.56134,1.87495,1.21962,5.77371,2.11127,0,1
208,2.56,0.22268,6.68714,6.9227,0.04354,0.78102,0.36554,0.0989,0,1
209,2.55628,5.01521,1.61099,0.35776,7.08104,0.94067,3.75075,0.70403,0,1
210,2.5551,6.21866,0.31019,2.27704,1.00061,0.09397,6.88833,1.02933,0,1
211,2.54598,2.85288,6.2954,3.1001,3.1447,2.67303,3.76864,2.21348,0,1
212,2.53773,4.36458,4.23368,1.52628,1.9754,4.43543,3.13547,4.56622,0,1
213,2.53115,0.63023,6.58835,3.7309,2.28596,1.73557,2.22857,4.76085,0,1
214,2.50076,3.46536,0.21134,0.42983,1.35687,3.91807,7.5991,2.56307,0,1
215,2.4607,1.23269,4.01787,4.69302,1.62934,5.3854,3.4004,3.32231,0,1
216,2.44188,3.87928,2.93639,5.38185,0.54319,4.00505,3.93033,3.1014,0,1
217,2.43347,0.0,0.0,0.6587,0.97274,0.0,3.82939,3.40256,1,0
218,2.42453,3.51154,1.4773,5.21737,2.4071,0.84218,5.57407,3.84885,0,1
219,2.42218,0.79008,4.7058,1.71034,0.0,2.23296,1.57271,0.0,1,0
220,2.41609,5.3886,4.53844,0.56731,1.92854,3.53948,0.85025,5.21882,0,1
221,2.40735,1.11917,4.14406,2.1836,8.21876,1.09175,0.25838,1.48461,0,1
222,2.3822,2.09989,3.48619,4.0633,0.0,0.0,0.0,2.03873,1,0
223,2.37957,7.2847,1.17036,0.18673,3.35858,4.42358,2.90266,0.76985,0,1
224,2.36984,1.41799,1.98493,6.44568,0.71238,1.32002,5.21297,4.17869,0,1
225,2.36702,4.36625,2.77131,1.15835,7.90007,1.39323,1.28552,0.55349,0,1
226,2.3651,4.68825,3.36245,2.47869,1.22457,4.66806,4.8737,2.81662,0,1
227,2.3568,0.4176,2.88146,0.0,1.53155,0.0,0.0,2.31376,1,0
228,2.34524,0.80383,6.19261,0.2907,1.12054,3.84736,0.81183,6.22125,0,1
229,2.32464,3.29199,2.46907,1.86433,0.0,1.85958,0.0,1.31162,1,0
230,2.31751,0.69436,0.0,2.41675,0.0,0.0,0.0,2.83856,1,0
231,2.30679,5.98698,0.37261,0.86839,5.00127,3.80727,4.21178,0.83357,0,1
232,2.29829,1.91747,1.92449,4.1792,6.22003,2.73303,2.07162,4.40703,0,1
233,2.29302,0.64465,2.16815,1.47262,0.108,3.55839,3.75005,7.79233,0,1
234,2.2713,3.18851,1.65464,0.89172,7.20578,2.62987,4.17685,2.20362,0,1
235,2.26135,0.6355,5.54282,6.00625,3.34597,0.17383,0.36932,4.0401,0,1
236,2.26105,0.55514,0.06348,0.33167,3.38891,2.64134,8.69467,0.6378,0,1
237,2.24577,3.26902,0.18136,1.47356,2.21672,0.0,1.1187,1.07182,1,0
238,2.23845,0.17829,3.26255,0.27286,0.11297,0.77895,8.89713,2.11195,0,1
239,2.2308,0.0154,3.71446,1.16826,0.91238,1.33831,8.77496,0.48769,0,1
240,2.22446,4.19033,0.6071,0.21381,1.12732,7.5728,3.19584,2.87178,0,1
241,2.22192,3.9184,3.58334,5.14324,0.97421,3.28077,5.3575,0.02554,0,1
242,2.22084,1.99373,5.22326,2.17058,3.64631,0.14608,6.36621,2.29205,0,1
243,2.19738,1.56194,2.84327,3.52384,4.64656,6.39712,3.11674,0.05,0,1
244,2.18127,0.32575,3.59221,3.54566,5.36223,0.57964,6.0785,1.90333,0,1
245,2.17458,6.07964,3.58154,2.54918,0.71669,4.90413,3.72083,0.75805,0,1
246,2.17291,7.19508,0.78726,4.45966,0.24418,3.75852,2.62532,1.38654,0,1
247,2.17096,3.25896,0.59637,0.0,0.0,0.99762,0.0,0.0,1,0
248,2.16353,0.63617,1.71777,3.76545,3.7446,4.85781,3.64923,5.1815,0,1
249,2.16184,2.05459,6.12394,0.84107,5.42715,4.12486,0.5058,2.48411,0,1
250,2.1491,5.10902,1.05728,2.40711,2.1694,3.40658,5.3529,4.17164,0,1
251,2.14009,0.23006,4.28996,3.58051,5.1967,3.14212,2.67684,4.48322,0,1
252,2.13326,1.78549,4.39096,2.26443,0.50494,3.56179,3.5568,6.50084,0,1
253,2.11325,1.14622,1.52383,4.94639,2.70295,1.71729,6.35634,4.09553,0,1
254,2.10771,2.63857,0.53672,1.54546,3.64234,3.79166,4.11285,6.43118,0,1
255,2.08276,3.67213,2.75762,2.41466,0.40738,0.75202,6.48765,5.09131,0,1
256,2.07545,1.76093,1.71677,6.48307,5.1851,0.7821,4.31784,1.2139,0,1
257,2.06257,4.8024,1.58456,2.64072,1.60976,2.06132,5.40944,5.20539,0,1
258,1.98203,7.20163,3.82845,1.87584,4.58384,1.94645,1.08862,0.21658,0,1
259,1.9624,3.28805,1.17764,6.35947,3.81119,4.66911,1.25007,2.37057,0,1
260,1.96203,1.50164,6.85724,0.47085,3.82142,4.06521,3.93708,0.14935,0,1
261,1.96105,1.82148,2.71423,0.40174,1.72671,0.32519,6.88295,5.90304,0,1
262,1.95389,2.02735,4.06941,5.64554,2.51656,2.98378,2.56399,4.67224,0,1
263,1.94916,2.87178,1.87179,1.08619,6.05855,4.84186,0.40624,4.7912,0,1
264,1.93656,1.66886,3.24306,1.8552,5.04502,6.69046,3.04103,0.20776,0,1
265,1.91962,4.21817,1.21,3.00188,3.7265,7.08986,1.25115,1.52594,0,1
266,1.91505,1.90538,3.18507,0.11929,3.06325,8.27459,1.85761,1.11359,0,1
267,1.91102,3.15843,2.43455,0.85736,7.38759,1.82248,1.66598,4.36312,0,1
268,1.88822,1.02445,3.95098,4.08741,0.40919,0.82401,6.60761,4.30825,0,1
269,1.88032,4.88951,4.47937,0.25458,0.94264,3.47218,6.23395,0.78797,0,1
270,1.81418,0.03393,2.71501,4.62526,4.0474,6.29437,0.10099,3.45435,0,1
271,1.79358,1.87398,0.92547,1.41162,6.04752,1.9646,6.84947,1.75347,0,1
272,1.78528,0.63719,3.71854,5.22247,4.2816,2.89083,5.29825,0.73799,0,1
273,1.78081,0.96935,3.3423,0.12303,3.37618,5.81208,1.91773,5.98718,0,1
274,1.77363,1.45812,2.20419,1.51324,1.70905,1.78395,8.86816,1.68289,0,1
275,1.7577,1.64523,3.69241,0.50337,7.85096,1.05675,1.19522,4.01667,0,1
276,1.74732,3.70227,3.83305,0.0,0.0,1.29541,0.0,0.73424,1,0
277,1.74671,1.59493,1.81981,3.0574,0.85112,0.0,3.15281,0.53693,1,0
278,1.73017,6.59873,4.99854,4.03988,2.90475,1.78172,0.02313,0.73798,0,1
279,1.72872,3.34517,1.83575,2.87531,0.59336,2.22878,8.27343,0.64403,0,1
280,1.72625,5.04915,4.25028,6.44455,0.01084,1.71431,2.88959,0.80023,0,1
281,1.72434,1.38559,0.0,0.36835,1.23651,0.0,0.13549,2.83472,1,0
282,1.7221,3.18667,0.94348,1.22698,0.41883,6.7874,5.36226,3.07991,0,1
283,1.70429,0.72886,2.68169,0.0,2.99964,2.08094,0.70114,0.48076,1,0
284,1.69939,1.44774,5.86101,5.83313,1.88762,0.57162,1.80272,4.41582,0,1
285,1.6945,1.89758,3.01154,3.53034,4.38065,1.61469,4.15839,5.73634,0,1
286,1.65813,0.92758,5.17551,0.17351,2.84756,1.0517,1.8359,7.54911,0,1
287,1.65718,7.91991,1.2696,1.17039,0.77662,4.55275,2.36988,2.14476,0,1
288,1.64054,1.51874,1.12296,0.8787,3.40399,8.05103,2.95581,2.79746,0,1
289,1.60373,3.10851,2.77044,4.75866,1.89948,4.70796,3.70962,4.23212,0,1
290,1.58833,0.99787,1.27497,6.32215,4.43099,4.15401,2.41366,3.48871,0,1
291,1.58331,3.37312,7.0361,2.31151,4.95608,2.42807,0.72782,0.5267,0,1
292,1.5761,0.50242,0.82544,4.17669,3.47498,8.12617,0.89972,0.46667,0,1
293,1.5644,0.0,3.81834,0.27987,2.54966,0.0,0.0,1.48545,1,0
294,1.55784,3.79219,2.32309,4.47111,1.57905,7.31707,0.00626,1.33113,0,1
295,1.55089,0.94414,0.0,0.66843,2.89477,0.41169,1.68979,0.0,1,0
296,1.54462,0.15556,4.31613,0.07569,4.52966,2.05449,1.83205,7.13163,0,1
297,1.54285,7.62768,3.51622,2.0201,2.33096,2.95894,0.03995,2.96703,0,1
298,1.54238,2.60361,5.78525,1.36381,1.24672,1.98898,3.58648,6.09426,0,1
299,1.53348,2.15314,8.87174,0.69974,2.61131,1.40009,1.43673,1.72384,0,1
300,1.5315,5.62503,1.87288,3.39604,4.4964,5.35203,0.84789,1.17983,0,1
301,1.53105,3.308,0.27519,4.69132,1.02935,2.07653,2.77209,7.18142,0,1
302,1.51962,1.60397,1.90497,1.17964,6.70093,0.74059,5.8838,3.16662,0,1
303,1.51158,3.82456,0.3508,8.36832,1.35319,1.16008,2.85933,1.25828,0,1
