leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,is_dominated,ground_truth_pareto
54,4.31354,0.08055,3.9708,0.21125,0.29675,0.82753,7.19773,1.92753,1.60143,2.19406,0.81928,1.10892,0,1
55,4.28947,0.0,0.46631,0.61512,0.0,0.0,0.0,1.54629,0.0,0.05955,0.0,0.0,1,0
56,4.28891,4.47197,0.52652,4.04871,2.39322,2.63614,1.50014,4.50377,2.25425,0.05493,1.57002,1.47537,0,1
57,4.26435,0.16108,4.45811,0.80052,2.66087,2.24255,1.94378,1.08506,0.72616,5.97343,2.82835,0.01343,0,1
58,4.25531,1.73286,1.67034,0.04446,1.7107,1.58895,2.36773,0.35045,1.50628,0.28367,6.00426,5.14945,0,1
59,4.25452,3.6796,2.66676,2.76945,2.4373,2.76591,3.77521,1.34669,2.81955,0.33315,3.81326,1.14885,0,1
60,4.23217,0.54372,5.87788,0.53947,2.32206,2.77422,0.50451,1.97889,4.29673,2.14391,1.86381,1.77816,0,1
61,4.22571,5.70283,4.92086,1.3354,0.03572,1.69664,1.1631,0.94468,2.50535,2.53277,0.45251,2.36672,0,1
62,4.22158,2.90257,1.11272,1.02749,1.94518,4.94003,2.63349,1.01375,0.32281,3.28128,0.99299,4.84271,0,1
63,4.17954,0.0,2.73031,0.0,0.0,0.0,0.98194,0.34601,0.0,0.16588,1.46622,0.0,1,0
64,4.1786,3.19942,0.97384,0.96898,1.82025,1.26431,3.16609,5.06489,3.27317,0.69728,4.31262,0.16784,0,1
65,4.15526,2.05338,6.2971,1.84955,3.17793,1.63348,2.44341,3.2925,0.22119,0.13968,2.372,0.41224,0,1
66,4.15221,1.25206,2.89547,3.84926,0.98112,1.07488,4.48212,2.1508,2.84686,1.45214,0.64207,4.53123,0,1
67,4.11654,1.3373,4.66243,1.19359,3.24129,0.58259,2.61759,1.81436,3.90559,0.37114,4.6179,0.63037,0,1
68,4.09225,0.04248,2.18263,0.828,0.19733,4.12536,3.90769,1.16595,1.26427,6.20319,1.89825,0.65876,0,1
69,4.07416,3.35724,2.77034,0.46311,1.15258,5.00442,3.06838,2.95702,0.85374,1.95413,3.87789,0.3518,0,1
70,4.06024,1.22673,1.78163,7.45815,1.87824,0.80887,1.73907,0.64068,1.15289,0.16122,3.28122,1.86357,0,1
71,4.05237,1.48974,1.28761,0.31375,1.99338,2.06584,2.18266,2.69489,6.99111,0.9116,2.7171,1.49857,0,1
72,4.02607,0.0,0.0,1.59622,0.0,0.0,2.45482,0.0,0.0,0.38783,2.10546,0.0,1,0
73,4.00413,2.51661,0.72783,3.7626,5.00238,2.41308,0.88933,2.318,2.06397,0.47434,2.55115,3.86556,0,1
74,4.00037,4.09424,1.57931,1.3903,0.73154,2.45654,3.03886,3.19051,1.88805,3.16089,4.77684,0.67024,0,1
75,3.93347,4.03557,1.99923,0.43584,2.24672,0.93492,4.84881,0.3056,0.6804,4.44239,2.35237,2.96607,0,1
76,3.85445,1.2024,2.47863,0.27163,2.85389,1.1065,0.08043,0.14687,7.98576,1.68342,0.23804,1.19166,0,1
77,3.85068,4.67395,1.9998,3.31839,1.36769,2.372,2.0231,2.18826,1.01269,0.20187,1.69598,5.29099,0,1
78,3.8072,1.08318,4.41275,1.00464,1.65647,4.76796,1.0973,4.1889,2.56139,0.19031,3.32556,1.40199,0,1
79,3.76849,2.90311,4.58268,2.50839,1.22483,4.85652,0.07351,1.10285,1.68233,0.53628,0.88108,4.45821,0,1
80,3.75081,2.99756,0.2515,2.9662,3.17407,1.67056,3.37634,4.7451,1.759,0.02722,4.2459,0.42533,0,1
81,3.72681,0.959,0.25196,5.15374,3.16345,0.02845,1.12363,1.08685,3.34378,1.96584,3.2587,4.52218,0,1
82,3.72159,3.15021,2.42595,2.96534,1.62823,1.38149,1.34684,5.08611,4.06782,0.61357,3.38744,0.95233,0,1
83,3.71296,4.56674,2.6644,3.01196,0.11281,0.26022,2.60389,0.8799,3.54697,2.32543,4.02099,2.71955,0,1
84,3.6903,0.91038,0.8322,2.17949,1.26174,1.81562,0.25357,6.12363,2.55454,3.76996,1.09237,3.96574,0,1
85,3.6879,5.4731,3.66685,2.95766,0.18147,1.04809,4.00972,2.73502,1.41938,0.41736,1.12694,2.47032,0,1
86,3.68398,2.42751,4.00602,0.78602,2.84002,1.42694,3.39368,1.58328,5.54123,0.57764,2.95002,0.04768,0,1
87,3.63971,0.91702,1.08088,3.99951,3.40514,2.25374,4.18663,2.0486,2.9562,2.14241,0.50253,4.09471,0,1
88,3.59633,5.92808,3.22427,0.87915,0.73591,1.42541,2.02183,2.87462,2.49677,0.39438,4.36946,0.59095,0,1
89,3.59446,1.50889,2.64052,2.20226,0.12201,4.75515,1.40134,1.71977,0.57284,5.65924,2.27313,2.81262,0,1
90,3.59193,2.08902,2.90543,2.29913,2.23092,2.25742,2.1911,4.47655,4.72119,0.3449,1.30381,3.15985,0,1
91,3.53173,0.18348,0.38983,4.2644,0.24078,0.02302,4.93015,5.22078,1.42347,0.92511,2.87233,2.53029,0,1
92,3.51574,3.01799,3.79845,0.81827,0.21571,1.51824,3.31517,4.14072,0.1585,1.52208,2.24137,5.05771,0,1
93,3.48294,0.33951,2.77348,1.55846,0.17272,0.40254,2.91387,2.30752,2.26628,2.06869,5.35671,5.05133,0,1
94,3.42611,2.1878,4.23313,2.4809,4.07,2.62334,4.64396,0.84822,3.59756,0.75069,0.31856,0.24662,0,1
95,3.4232,1.34028,0.19431,4.2242,0.32865,0.86838,2.39057,2.00595,3.52969,0.14434,3.73189,5.62107,0,1
96,3.39222,0.56983,1.06735,2.87348,1.11365,3.98898,0.47593,3.18044,3.55367,4.28813,4.47706,0.46628,0,1
97,3.38589,4.44934,4.57415,3.59589,0.67518,3.57315,0.03189,0.53651,2.89284,1.05026,0.15975,3.44624,0,1
98,3.33692,2.74095,0.59181,2.42031,2.03298,0.69681,5.36811,0.252,0.97135,3.33511,0.70374,5.39293,0,1
99,3.32739,0.03598,2.97638,0.74604,1.23522,0.97784,1.87882,6.13472,2.6156,4.25696,1.20317,3.07481,0,1
100,3.32538,0.178,0.45305,2.56485,0.52763,3.66518,2.10063,0.52186,3.03518,6.46428,1.34979,3.30277,0,1
101,3.30029,0.13222,5.76208,2.07454,4.87769,0.90743,2.60787,3.40827,1.29858,0.53863,1.89305,1.72994,0,1
102,3.29359,0.63899,1.44502,2.20438,0.01961,0.24854,3.93792,4.11395,3.55786,5.33121,1.95646,2.09636,0,1
103,3.20312,2.45354,3.13352,5.67625,3.19025,0.82461,2.7211,0.20905,4.06862,1.50978,2.10713,0.32031,0,1
104,3.20133,2.43705,2.69598,0.53357,2.2461,3.61386,4.52938,2.23673,1.63733,1.06505,5.04198,1.8437,0,1
105,3.18208,0.53799,6.67443,0.46041,0.78324,0.01116,0.69259,1.17528,5.60758,2.28255,2.31962,0.56097,0,1
106,3.16219,2.75075,0.99415,1.16389,0.81304,0.52987,1.7703,0.96999,3.0417,3.26496,0.01812,7.42712,0,1
107,3.14812,5.04119,3.52659,3.30838,3.19965,0.26833,1.59773,4.03111,1.56414,1.68037,2.37918,1.11829,0,1
108,3.14304,0.6604,0.0,0.42147,0.0,0.0,0.13066,0.0,0.0,0.0,5.71951,0.0,1,0
109,3.13336,0.54884,0.6735,4.16105,2.55663,1.09253,4.4798,3.63931,1.95855,2.83664,1.19337,4.21462,0,1
110,3.1287,0.48939,2.60515,3.39714,1.87981,0.22171,5.65985,2.28453,1.59771,2.8176,2.57667,3.69834,0,1
111,3.12579,0.10694,0.95836,0.04811,1.15792,1.46198,6.6636,2.29316,3.37837,4.96183,0.20095,0.28891,0,1
112,3.11904,2.89606,2.1665,1.49896,4.23278,2.15209,2.50653,2.15729,1.15431,6.04133,0.28324,1.8839,0,1
113,3.10719,1.19588,2.8084,0.92233,1.04724,5.33909,3.9071,0.45785,2.5361,1.10937,0.31797,5.22839,0,1
114,3.10618,2.90106,0.58702,0.84491,5.60226,2.68812,0.68294,2.49235,1.66073,4.64304,2.73523,1.94682,0,1
115,3.10453,2.41208,0.21821,1.03873,2.87614,0.05538,2.29339,4.81019,1.23689,2.11507,6.38053,0.17268,0,1
116,3.08008,0.916,1.17337,2.72525,1.49909,0.10514,4.40374,1.96108,5.40506,2.00852,4.07092,2.35628,0,1
117,3.05709,0.0,0.0,1.26444,0.0,0.0,0.0,0.0,0.0,0.1925,4.48051,0.0,1,0
118,3.04946,2.79784,5.17325,2.31984,3.30431,0.19769,3.84737,4.27023,0.59067,1.37078,2.11779,0.1453,0,1
119,3.04662,3.48069,0.69237,0.55322,2.06428,4.19644,2.66356,0.85054,5.25987,4.39408,0.02265,1.07393,0,1
120,3.04401,0.70247,1.68183,1.96035,2.65576,2.38122,1.70235,6.17522,3.98294,3.20451,0.90448,1.69222,0,1
121,3.0385,0.19322,0.65052,4.0663,0.18898,5.12923,0.20653,6.01992,1.9038,1.78189,1.29893,1.63054,0,1
122,3.03388,0.23166,2.47876,2.28284,0.55784,2.33669,1.29374,3.16421,0.7628,0.93768,0.88533,7.72555,0,1
123,3.01086,0.11411,0.18363,2.30343,5.00773,1.05777,1.46948,2.1427,1.90087,2.81309,4.79105,4.2608,0,1
124,2.98455,0.72491,1.91643,3.69743,0.74699,2.64102,0.80634,6.60488,4.21808,0.90725,0.93823,1.38567,0,1
125,2.98447,2.30341,4.16228,1.62912,4.43134,3.36273,1.04964,3.82951,1.12918,2.55642,2.22893,2.51368,0,1
126,2.97779,2.90837,0.26127,1.02096,1.38273,2.98754,0.24853,4.23685,0.92963,1.87537,2.50355,6.48572,0,1
127,2.97634,0.58055,1.43045,1.63068,5.15795,3.33848,3.1257,2.472,0.04156,5.37629,1.2351,1.42714,0,1
128,2.95277,0.90128,2.4226,2.5954,3.66896,3.92064,0.48983,6.49056,0.83392,1.60156,0.58049,1.75109,0,1
129,2.94957,7.87762,2.49597,0.47742,0.29667,1.21046,0.80284,0.91486,1.581,0.73671,3.44718,2.19663,0,1
130,2.92612,3.78919,3.39324,2.19564,3.1141,0.12535,2.47686,5.61588,2.75196,0.56475,1.99954,1.21171,0,1
131,2.89824,0.68658,4.40194,5.08468,0.2092,3.69519,3.07135,3.23786,2.16506,0.96211,0.74014,2.47421,0,1
132,2.88296,0.0,2.99589,3.97354,0.0,0.0,1.24822,0.32079,0.0,0.0,0.27976,0.0,1,0
133,2.88001,2.70403,5.05967,2.97284,0.14509,3.1398,1.53545,2.67854,2.28093,1.92862,4.52687,1.06273,0,1
134,2.87724,0.80898,2.91364,0.3797,0.2052,1.67165,2.84364,2.16486,2.39797,7.62003,1.10074,1.34067,0,1
135,2.85464,2.30952,1.3525,4.13601,1.29372,1.68066,3.35606,2.88164,2.78965,1.4154,0.21903,5.80366,0,1
136,2.82546,4.34105,0.23748,0.10492,1.15802,4.07949,2.82607,1.04096,0.22593,5.17449,4.38443,0.03959,0,1
137,2.79907,1.54112,4.4061,3.4687,0.59467,1.03651,4.42304,2.3762,0.60596,1.65752,5.28826,0.79162,0,1
138,2.79397,6.53363,0.7234,0.37522,3.9928,0.21463,2.84575,2.47614,0.76661,2.08704,1.5312,3.36678,0,1
139,2.78817,2.19082,0.86287,0.067,0.81323,2.15897,4.11802,5.37038,2.89476,1.18827,0.75956,5.0187,0,1
140,2.7881,0.94592,1.85243,5.25666,0.66589,2.47894,0.38111,1.8064,0.03383,4.4227,1.71008,5.27115,0,1
141,2.78534,4.22727,2.00932,1.59412,1.94735,3.86015,2.76853,2.04088,1.00827,3.84353,4.01284,2.31911,0,1
142,2.78467,3.87548,1.20157,0.85219,2.28269,5.72482,0.56807,0.37562,5.01335,3.21509,1.06659,0.01723,0,1
143,2.76461,6.18542,0.87524,1.96095,2.45273,0.29227,0.67718,1.50568,3.45947,0.94428,5.12261,1.24836,0,1
144,2.74924,5.65128,1.42131,0.7778,1.94388,4.73107,0.23599,1.73234,0.76125,0.07149,5.24055,0.7831,0,1
145,2.74055,6.03286,0.89366,3.52432,2.54551,0.85726,1.69935,2.01863,0.73641,3.22198,4.14717,0.75825,0,1
146,2.70744,1.47839,0.03303,0.86463,6.66218,2.24302,0.81795,2.05965,4.90225,2.43469,1.86234,1.40728,0,1
147,2.67388,0.94844,2.58994,2.06259,5.71931,1.66743,1.12807,0.68057,1.08988,1.97872,6.14207,0.96644,0,1
148,2.66591,0.41741,4.7107,0.87314,0.3096,0.0,0.0,1.39504,0.0,0.0,1.73803,0.0,1,0
149,2.6246,2.08191,1.52769,1.26137,2.91923,1.99644,1.54311,2.02963,4.01448,3.19467,2.11149,5.92145,0,1
150,2.61612,1.33666,1.96978,0.45308,3.43042,0.5054,0.5105,3.33283,5.38928,1.56498,0.17308,5.68936,0,1
151,2.61204,1.8686,5.42555,2.16133,3.90444,2.81501,1.86975,1.40964,0.28949,3.17915,2.17104,3.4672,0,1
152,2.56981,6.33598,0.81256,1.29296,1.09285,4.0139,1.33645,2.42335,3.20853,3.8191,0.60504,0.84191,0,1
153,2.56526,4.24379,5.52679,4.00703,1.13424,0.61521,0.81789,2.65488,1.45076,0.92172,3.41165,2.1982,0,1
154,2.51901,3.6723,3.93221,0.86739,1.58505,5.75924,3.06167,1.50014,3.66576,1.5566,0.87059,0.1732,0,1
155,2.50344,1.03186,0.82829,0.44614,7.91345,2.61265,0.14655,1.02783,0.7122,3.25541,0.92674,3.04839,0,1
156,2.5001,0.56725,2.06333,3.85675,4.96662,1.55541,3.06222,3.90603,3.55422,1.93137,1.88183,1.63436,0,1
157,2.48884,0.0,4.771,0.0,0.0,0.0,0.0,0.52937,3.1147,0.13137,0.0,0.0,1,0
158,2.48341,1.06703,1.31791,5.75195,1.03717,0.99754,1.0879,1.75491,6.4338,2.85065,1.31921,0.52722,0,1
159,2.47752,0.83446,4.24933,1.71521,0.91641,3.50138,2.11701,1.89941,6.23498,0.47233,3.08488,1.53731,0,1
160,2.46621,0.33828,2.85267,1.97442,2.15173,6.58721,1.0583,0.16885,3.03701,4.00004,2.62474,0.69614,0,1
161,2.46405,0.10034,3.20643,3.39055,3.55725,4.40593,0.2729,2.80426,0.03344,5.63426,0.47549,0.40579,0,1
162,2.45872,0.0,0.98722,2.28186,1.84797,0.0,1.41427,0.69747,0.0,0.0,0.0,1.74887,1,0
163,2.43085,0.24197,1.03519,2.26033,5.21736,1.14459,1.68417,2.28751,0.98515,5.35265,3.10011,3.46693,0,1
164,2.39976,0.69089,4.93355,1.31245,1.05928,2.19017,1.89311,2.79263,4.02409,3.31239,1.88412,4.43675,0,1
165,2.38903,1.19679,3.90085,4.55633,1.58188,5.22855,3.30136,3.22554,0.16482,0.86511,1.06407,1.95768,0,1
166,2.37827,5.22117,1.89628,0.98913,4.31467,1.90195,1.37874,3.22808,1.83244,2.49706,3.36261,2.65583,0,1
167,2.36782,3.07173,2.30751,3.27641,0.58246,0.48674,1.10575,7.90419,0.83491,0.31311,0.13985,1.95161,0,1
168,2.35917,0.72695,1.1088,5.00474,1.26109,1.77067,7.29584,0.57544,2.14746,1.15139,1.18152,1.41763,0,1
169,2.35716,0.60103,2.722,0.9595,5.89527,3.03052,1.61236,0.19215,4.35162,2.96793,2.87929,1.77264,0,1
170,2.35012,0.0,0.0,0.0,1.03824,0.0,0.0,2.59066,0.0,0.0,5.35031,0.0,1,0
171,2.33579,0.0,0.0,1.04182,4.35957,0.0,0.0,0.0,0.93755,0.0,3.30126,2.43865,1,0
172,2.32923,5.89861,1.24535,1.59061,2.83745,3.177,3.34355,3.55792,2.5362,0.3494,2.53139,0.86911,0,1
173,2.30801,3.57338,1.66448,5.32138,1.65962,2.46589,1.31565,0.66241,1.70364,0.51548,2.34651,5.58011,0,1
174,2.28849,2.43771,1.59245,1.19984,1.61044,2.46295,1.22178,0.26663,2.96398,1.79933,5.48306,5.70392,0,1
175,2.28295,5.70076,3.27625,3.43811,0.16537,1.90064,3.88517,3.46148,1.85447,0.09174,1.52106,1.8049,0,1
176,2.24977,0.56017,5.85594,3.31614,2.03184,1.54263,1.98082,4.2316,2.42864,2.76353,2.49187,1.1193,0,1
177,2.24206,0.8497,0.19191,3.91507,0.83116,1.30965,1.08312,3.26205,5.53019,1.97178,5.3708,1.16191,0,1
178,2.23458,0.18157,1.59949,2.43379,4.17963,0.92363,1.4603,1.78918,6.49238,2.28119,3.35945,2.04824,0,1
179,2.21189,1.93277,5.51744,4.0453,0.92447,0.81632,2.58021,4.28416,0.26242,2.24039,0.19051,3.59281,0,1
180,2.19813,0.72277,2.65967,1.65975,2.54251,0.65455,4.4532,2.32369,1.35728,0.05095,6.47503,2.98714,0,1
181,2.18977,5.38354,1.46312,5.73784,3.76074,0.69641,0.02394,2.40251,3.03696,0.92975,0.0925,0.81359,0,1
182,2.17889,1.60658,0.06374,4.47773,0.65544,2.77183,0.83927,4.55226,0.35472,2.12594,5.38051,3.07925,0,1
183,2.15061,0.3429,1.67303,6.30619,0.24606,4.23737,0.53644,0.71102,3.62347,1.22597,0.57733,4.34917,0,1
184,2.13074,2.06601,2.24809,0.00593,4.19937,2.37522,3.43091,2.88465,4.06589,4.14724,2.97478,0.43404,0,1
185,2.10284,0.59118,1.98832,1.35048,0.09904,3.26325,3.43901,7.14601,2.31095,2.41454,1.19243,1.81881,0,1
186,2.09797,0.06983,0.91405,0.57228,5.79458,5.01198,0.66753,3.4468,4.16971,1.83113,1.50484,0.63514,0,1
187,2.0836,3.12234,3.25893,3.87236,0.08037,2.80473,1.63484,1.93499,3.07673,0.2289,2.964,5.26307,0,1
188,2.0702,2.71993,0.72337,2.76984,7.25982,2.41075,1.08969,1.39819,3.50911,1.41688,2.03436,0.04384,0,1
189,2.06638,4.65375,2.5657,4.18219,0.71957,2.31653,0.65353,0.28948,3.76154,0.65271,4.91133,2.21536,0,1
190,2.06144,3.80259,2.41355,1.00881,6.8802,1.21337,1.11956,0.48203,2.35859,1.80505,3.61459,1.50542,0,1
191,2.05063,1.52432,0.63572,2.05082,0.42969,2.66783,0.30822,2.5568,2.83745,2.62144,5.89158,5.02925,0,1
192,2.00622,3.15539,1.71381,1.87411,2.37334,2.94625,0.4683,4.31959,4.13107,0.73476,2.48109,4.75567,0,1
193,1.99198,2.24514,1.40493,1.41782,2.49709,1.14324,3.24476,0.53324,0.28651,6.38923,3.59898,3.84644,0,1
194,1.98964,2.01571,2.45487,0.54772,7.44974,0.05962,2.34853,0.58871,0.3123,0.51216,0.10623,4.89043,0,1
195,1.96179,1.56793,2.19377,1.46551,4.66881,2.50775,0.18845,0.28133,3.22028,4.68846,4.65094,2.13266,0,1
196,1.95992,2.34858,3.79313,1.15007,1.65292,0.13166,0.7881,2.84841,2.0469,0.17805,5.34684,5.53518,0,1
197,1.95487,0.27347,4.08435,0.31805,2.54845,1.20831,2.85387,1.28896,1.55221,4.83681,5.0162,3.25479,0,1
198,1.94969,1.1845,1.12351,5.51562,1.89038,2.5594,3.28782,1.99297,2.71801,3.9816,3.47693,1.69582,0,1
199,1.94844,1.39811,5.53948,2.56052,2.05636,1.29192,4.86379,2.22126,2.57561,2.72734,2.86021,0.51543,0,1
200,1.92223,1.88863,1.24317,5.22212,0.46028,4.49493,3.59916,1.02685,0.24203,2.93799,3.59469,2.80809,0,1
201,1.92031,1.06804,3.95896,3.14408,1.39696,3.20456,0.24574,2.37711,4.18057,2.12848,3.84823,3.8555,0,1
202,1.92029,2.27846,0.0,1.39688,0.22566,0.0,0.28798,3.47599,1.68068,0.0,0.0,0.0,1,0
203,1.91097,1.96829,2.56716,4.65769,2.77399,2.53823,3.81947,0.54712,4.01401,1.26536,4.16048,0.37596,0,1
204,1.90847,1.52642,6.10223,2.83833,3.92468,2.30998,1.14686,0.8746,1.08122,2.06702,2.90969,3.46516,0,1
205,1.89726,1.34861,2.45493,3.04256,4.01193,5.5234,2.69106,0.04317,0.03503,0.30461,2.01659,4.6141,0,1
206,1.89077,0.0,1.58419,0.02174,0.77398,0.0,3.54134,1.69232,0.0,0.05798,0.0,0.0,1,0
207,1.87624,1.28344,0.11635,3.16123,4.22567,1.05148,0.8836,5.84872,1.00317,1.34006,4.16455,3.27565,0,1
208,1.86749,4.16505,3.50793,0.43849,1.49064,2.73579,0.65719,4.03382,2.64402,5.73353,0.48819,0.39281,0,1
209,1.86403,4.34011,1.43203,2.38652,1.4548,1.8629,4.88872,4.70432,2.21631,2.06649,2.59749,1.54795,0,1
210,1.83902,1.57785,1.098,0.59568,3.11447,4.58457,3.19165,4.72395,2.63816,1.96885,3.91655,1.78096,0,1
211,1.82943,4.31738,1.334,4.48711,3.1956,2.5848,1.44055,1.62202,3.26109,2.20298,2.70189,3.42236,0,1
