leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
50,-7.03215,-0.994,-1.17578,-1.03154,-0.62737,-2.52845,-1.68196,-2.35888,-2.70381,-3.74346,-0.13752,-0.74205,-0.82453,-3.05955
51,-7.01152,-2.90396,-0.67888,-0.21937,-1.10024,-1.64846,-1.01575,-0.2504,-1.03935,-0.33839,-5.60219,-1.7521,-0.97979,-0.51474
52,-7.01095,-0.96658,-3.35963,-1.44755,-0.86846,-0.10638,-2.12604,-3.67335,-0.83756,-2.67885,-2.9847,-0.86353,-0.46513,-0.05016
53,-6.99204,-3.52687,-2.48142,-0.18671,-3.33615,-0.84032,-0.52984,-2.26508,-2.09371,-1.13988,-0.75449,-2.26674,-1.62966,-1.08941
54,-6.9916,-0.86305,-3.10017,-0.5829,-0.26747,-1.25346,-0.16871,-1.51593,-2.36707,-3.10058,-2.36588,-3.44145,-0.30677,-1.92379
55,-6.98598,-1.79482,-2.60428,-1.20184,-0.68833,-0.0075,-1.78269,-0.69109,-0.24979,-0.6004,-2.55142,-3.92528,-1.1979,-3.44139
56,-6.97398,-1.31469,-1.7015,-4.07244,-0.44576,-0.29349,-2.95888,-2.34916,-1.33797,-0.78101,-3.09968,-1.03457,-1.55012,-0.34006
57,-6.969,-2.274,-1.38088,-0.40515,-1.92966,-0.546,-0.65484,-2.12477,-1.68384,-2.44463,-0.31296,-2.93816,-4.20085,-0.19082
58,-6.95014,-0.72467,-0.61109,-4.00056,-0.86304,-0.12881,-4.92572,-0.05811,-0.32552,-2.34907,-1.11684,-0.43721,-0.85272,-1.40548
59,-6.93089,-2.06687,-0.35903,-4.12327,-1.62757,-0.71842,-0.52828,-0.31914,-1.98694,-3.26571,-1.75992,-0.48682,-0.66619,-2.9366
60,-6.92797,-1.12467,-3.34932,-2.46912,-1.08298,-2.27751,-3.34022,-1.40765,-1.37581,-0.00027,-1.24406,-1.5972,-0.21316,-2.80863
61,-6.92033,-1.85924,-2.81725,-1.42074,-1.31864,-2.42336,-0.21815,-3.41175,-0.68135,-2.43376,-1.64657,-2.14387,-0.42804,-2.34942
62,-6.91914,-0.95461,-2.20565,-2.77707,-0.99389,-1.05239,-1.9673,-2.9186,-0.7605,-0.92511,-3.55377,-2.22324,-1.98424,-1.09993
63,-6.89281,-0.89574,-4.07469,-0.69946,-0.85621,-2.82294,-2.76728,-0.3197,-1.81823,-0.09893,-1.60466,-2.23514,-0.34145,-2.67008
64,-6.83328,-0.25825,-3.23268,-4.30193,-0.75877,-1.21561,-2.7742,-1.8718,-0.58237,-0.51835,-1.89839,-2.21541,-1.32975,-0.37628
65,-6.81787,-0.82923,-0.51804,-0.66706,-1.88335,-2.27211,-1.6204,-2.9331,-2.41487,-1.75244,-3.2001,-0.59581,-3.14609,-1.66773
66,-6.81614,-1.65082,-0.39836,-1.08659,-1.48364,-3.52159,-1.80425,-0.47728,-0.07169,-0.61249,-0.70154,-4.16049,-0.84426,-3.53481
67,-6.80855,-0.62846,-0.30051,-0.74194,-3.83083,-0.4459,-3.49925,-1.54599,-0.45056,-2.90176,-2.27595,-0.66415,-2.70675,-1.23624
68,-6.8061,-0.55378,-0.77054,-1.08322,-1.66814,-3.00278,-3.84708,-0.02711,-2.48123,-1.59578,-2.68262,-0.58469,-0.15422,-2.95601
69,-6.8061,-0.08471,-2.5183,-5.22109,-1.15713,-2.09425,-0.12646,-2.18593,-2.04863,-0.93166,-0.36048,-1.74992,-1.13273,-0.09431
70,-6.80322,-0.41759,-2.43972,-3.07632,-0.39337,-2.32469,-1.28733,-2.50688,-1.23945,-2.71706,-0.62725,-2.80517,-2.11917,-1.71854
71,-6.7946,-0.38583,-2.65901,-2.17371,-1.30091,-0.10354,-3.59178,-1.55505,-1.2702,-1.42346,-2.2206,-2.35417,-2.05851,-2.55278
72,-6.78211,-2.54027,-1.30681,-1.01234,-2.50981,-0.26079,-3.09955,-0.10595,-1.92643,-2.64204,-1.13747,-2.78344,-2.40856,-1.81598
73,-6.77543,-0.89264,-0.07045,-2.78698,-3.99772,-4.53434,-0.83759,-0.99088,-1.50289,-1.37067,-0.30894,-0.54732,-1.53774,-0.63407
74,-6.77233,-3.31864,-2.06358,-0.83738,-0.32489,-1.59224,-0.7522,-2.41915,-3.56492,-0.90718,-2.7539,-1.40367,-0.70974,-2.34823
75,-6.77093,-1.62209,-4.44904,-0.00422,-2.07028,-1.16841,-0.95809,-2.63887,-0.86513,-0.63616,-0.70928,-1.2825,-1.02406,-3.72115
76,-6.76657,-0.95823,-0.6938,-0.80661,-2.65087,-4.51569,-2.16392,-1.59372,-3.42589,-1.12635,-0.7973,-0.81476,-1.7724,-0.2755
77,-6.75224,-0.33224,-1.61794,-0.72294,-0.72211,-1.78029,-4.29093,-3.19738,-1.75193,-0.22019,-3.64698,-1.0979,-1.09816,-0.029
78,-6.72606,-2.64461,-0.09856,-3.71465,-1.41408,-0.08917,-0.92963,-1.99228,-3.19266,-1.29729,-2.11749,-1.44919,-0.5432,-2.89169
79,-6.72409,-3.97522,-2.62556,-1.61105,-1.69525,-2.85619,-0.13634,-1.54557,-0.36639,-2.33089,-1.57619,-1.38293,-2.46508,-0.12365
80,-6.7236,-2.36114,-0.43818,-0.41191,-2.47809,-0.14383,-0.18094,-4.25955,-2.23927,-2.25045,-0.70442,-1.09944,-3.09445,-1.77733
81,-6.71718,-2.4029,-0.89458,-1.57578,-2.83709,-3.36174,-0.36193,-3.74177,-2.58322,-1.29914,-0.84589,-0.04989,-1.78826,-0.2516
82,-6.71473,-4.6595,-0.03195,-0.65072,-0.14862,-2.0743,-1.50583,-0.48012,-1.91154,-3.08561,-0.69174,-2.26744,-1.0389,-2.46579
83,-6.71096,-3.9074,-1.43602,-1.15479,-2.51409,-3.26335,-1.461,-2.19767,-0.43153,-1.13919,-0.77778,-3.17122,-0.4525,-0.12185
84,-6.70825,-0.47212,-1.08573,-1.67201,-5.19029,-0.6312,-0.16307,-0.18439,-2.0956,-1.9828,-2.9478,-2.49698,-0.08048,-0.38726
85,-6.70266,-4.12648,-0.0683,-1.61588,-1.89703,-1.00585,-3.15029,-0.3166,-2.31644,-1.16562,-3.42756,-0.25988,-0.74713,-1.30284
86,-6.70102,-1.82995,-2.11706,-1.15118,-1.33227,-1.46638,-3.33171,-0.8746,-3.46302,-2.46402,-1.6041,-2.30681,-2.02505,-0.30134
87,-6.68845,-2.40973,-1.57928,-2.84323,-4.56469,-1.07809,-0.46107,-0.88495,-2.14152,-0.42486,-1.22065,-2.3257,-1.78665,-1.0138
88,-6.68678,-0.57451,-0.00923,-1.72323,-1.14472,-2.30871,-1.51103,-0.12317,-0.00398,-2.67269,-1.48629,-4.36917,-2.37126,-2.99725
89,-6.68382,-1.22405,-2.29636,-2.79158,-1.1922,-1.60692,-1.1824,-1.14957,-1.17425,-1.22184,-0.79528,-0.64587,-5.44833,-0.65815
90,-6.68303,-2.85156,-0.19441,-3.90084,-0.42991,-1.91604,-1.24113,-1.02256,-3.93896,-0.67087,-2.47674,-1.16987,-0.35661,-1.38344
91,-6.68141,-0.48038,-0.72943,-1.17471,-2.5424,-1.92225,-2.70913,-2.64159,-2.13057,-0.98851,-3.25635,-0.00354,-0.23266,-3.54476
92,-6.65938,-1.00858,-0.23376,-1.62662,-0.43029,-2.33071,-0.79794,-0.98507,-2.6113,-2.93967,-3.00043,-3.10879,-2.46979,-2.11727
93,-6.65826,-3.43633,-2.97713,-0.26161,-0.68074,-1.50102,-1.85966,-1.70474,-2.12459,-1.18081,-1.78429,-0.54597,-3.89168,-1.14514
94,-6.65366,-1.80464,-1.92743,-2.996,-4.01236,-0.48837,-1.96318,-4.17111,-0.318,-0.47378,-0.51508,-0.73497,-0.25898,-0.9966
95,-6.64266,-0.15339,-5.01146,-1.06225,-2.61104,-0.98489,-1.08278,-1.04713,-0.71893,-1.72769,-0.41498,-1.07784,-2.11593,-3.19986
96,-6.6372,-1.08282,-3.86884,-0.92476,-1.67078,-0.08455,-2.71255,-3.95803,-0.82515,-2.52058,-2.24908,-0.56855,-0.68002,-0.50125
97,-6.62062,-2.75472,-0.06724,-3.83114,-2.87994,-2.25391,-1.41082,-1.61076,-2.50922,-0.91894,-0.00908,-1.6595,-1.72599,-1.7504
98,-6.61464,-1.62189,-1.74266,-4.01247,-0.22061,-0.53225,-0.63167,-2.91185,-0.07082,-2.44081,-2.74005,-0.40914,-2.43787,-2.38505
99,-6.61392,-3.65803,-0.12966,-1.51386,-4.00459,-0.55297,-1.32926,-0.97245,-0.75309,-0.09403,-0.11684,-1.81778,-3.79856,-1.78556
100,-6.61136,-1.17389,-2.06971,-2.73718,-2.80863,-1.53849,-4.18993,-0.01966,-2.54182,-0.52251,-1.05179,-0.6289,-2.65849,-0.14688
101,-6.60887,-0.4311,-1.40604,-1.22927,-0.53684,-1.17277,-1.02638,-1.74721,-0.71074,-1.04708,-0.6108,-2.5481,-6.05755,-1.31064
102,-6.60767,-0.67266,-3.65582,-2.88876,-0.50609,-3.18764,-0.66425,-1.78839,-0.90952,-2.48933,-2.46237,-0.77849,-2.22548,-1.21385
103,-6.58817,-4.75327,-1.4481,-0.10652,-1.34815,-0.32238,-2.34993,-2.04482,-2.87728,-1.7797,-2.04663,-1.07111,-0.60905,-1.76527
104,-6.57897,-1.03819,-5.19759,-0.6326,-0.56581,-2.54752,-0.96876,-1.30939,-0.74184,-2.29508,-1.8321,-2.00523,-2.27201,-0.63556
105,-6.56275,-1.60503,-3.81936,-1.27517,-0.51375,-1.85356,-2.3818,-2.12534,-1.54494,-1.5374,-1.9226,-3.78497,-1.12204,-0.46824
106,-6.56212,-1.09096,-0.21458,-0.4755,-0.64964,-1.92036,-4.25461,-0.07836,-4.54657,-0.58781,-2.5306,-0.81985,-1.04987,-2.01581
107,-6.54807,-0.11556,-1.67194,-0.84403,-2.6219,-2.2323,-4.26219,-1.40408,-0.7488,-3.83726,-0.20749,-0.54111,-0.71863,-2.33859
108,-6.54546,-3.48614,-0.13217,-3.22433,-0.1433,-1.40313,-3.98538,-0.40134,-0.0752,-2.287,-1.18371,-2.07842,-2.21653,-0.82843
109,-6.53961,-2.68091,-0.5816,-5.60083,-1.57689,-0.23856,-0.53707,-0.87162,-0.21342,-0.19721,-0.10113,-1.07529,-3.67312,-0.06536
110,-6.53558,-2.43062,-2.04718,-3.91855,-1.55523,-1.68967,-3.14949,-0.1143,-0.70661,-1.79133,-2.26846,-1.13603,-2.27329,-1.14616
111,-6.52143,-3.57766,-2.08852,-1.06076,-0.57762,-0.17259,-1.67945,-1.21947,-5.18704,-0.56226,-0.43638,-0.24377,-2.39456,-1.14361
112,-6.52119,-3.2128,-2.68308,-0.1667,-0.62594,-0.18125,-0.39706,-1.90255,-2.21608,-1.66006,-1.43735,-3.23085,-3.7696,-1.15857
113,-6.51881,-0.24415,-0.18558,-1.02225,-2.66324,-0.77473,-3.22143,-0.01199,-1.22365,-0.49243,-0.96752,-5.38071,-1.5729,-2.04777
114,-6.51863,-0.93833,-1.01685,-1.01318,-0.9041,-1.6249,-0.06466,-2.68757,-0.45066,-0.78591,-4.78794,-3.63294,-2.54816,-0.66705
115,-6.51081,-0.30395,-2.76576,-5.33597,-1.15677,-0.06986,-0.01244,-0.08965,-2.57206,-1.82454,-1.54078,-2.39592,-0.49005,-1.32087
116,-6.50709,-1.62386,-3.12644,-0.84266,-0.93254,-1.83221,-1.07911,-0.00922,-4.1684,-1.4946,-4.22414,-1.09658,-0.27027,-0.64554
117,-6.49379,-2.70046,-2.40218,-2.39707,-3.10622,-3.9205,-2.09352,-0.80422,-0.71011,-0.79254,-2.03822,-0.88617,-1.40787,-0.95872
118,-6.49071,-0.58767,-2.56458,-1.53447,-1.8005,-4.27954,-0.54667,-1.67872,-1.86425,-3.54715,-0.76747,-1.50575,-1.85284,-1.25433
119,-6.47671,-0.57757,-3.87911,-1.42011,-3.80259,-0.98385,-0.9966,-3.64657,-0.37396,-0.95253,-0.04846,-1.41902,-2.8037,-0.11045
120,-6.475,-0.02739,-0.88829,-0.07504,-2.49063,-1.59006,-2.32938,-3.14206,-4.96656,-0.22809,-2.0716,-0.67004,-0.46646,-1.88997
121,-6.47346,-2.20256,-0.00055,-2.17263,-0.01275,-1.69804,-2.51404,-0.42246,-0.98852,-4.34292,-2.79676,-0.98198,-2.9826,-1.27284
122,-6.47278,-2.61414,-2.06137,-0.73465,-1.19891,-1.96658,-0.19969,-1.40053,-1.13527,-3.70553,-1.89142,-0.25497,-0.79274,-4.45909
123,-6.47172,-1.13537,-1.43386,-1.18289,-0.75063,-1.30786,-2.22282,-2.84761,-1.02887,-1.88094,-3.13798,-1.60085,-4.26087,-1.69927
124,-6.46033,-2.95532,-0.24681,-0.51181,-2.52532,-0.11177,-0.97532,-0.41923,-2.70568,-1.14459,-0.35895,-1.02146,-5.37269,-1.73832
125,-6.45657,-2.47896,-0.97436,-1.34759,-0.56057,-2.61128,-0.76845,-2.02875,-2.96077,-1.92769,-1.40575,-2.8677,-0.36624,-3.84013
126,-6.45358,-1.20604,-4.20723,-4.12553,-1.46024,-2.35411,-1.63938,-0.04655,-0.04715,-1.1672,-2.07289,-2.16735,-0.62771,-1.02918
127,-6.45303,-1.23725,-2.54648,-0.74253,-2.92,-1.52134,-1.23015,-2.05331,-0.47042,-0.66883,-3.20442,-1.86119,-4.09782,-1.42419
128,-6.45222,-0.50334,-1.33631,-1.58693,-0.26799,-1.66199,-4.8374,-0.74012,-1.38386,-2.5072,-3.85172,-0.05964,-1.15464,-1.62961
129,-6.45189,-0.77131,-0.84305,-0.45503,-0.157,-1.74636,-3.32613,-1.89884,-2.04002,-1.22176,-1.34732,-0.85789,-3.45076,-4.35934
130,-6.44965,-2.38204,-0.63299,-0.78748,-2.03513,-2.42095,-0.04301,-1.99183,-1.27362,-3.52089,-1.32947,-1.84405,-4.30048,-0.23284
131,-6.4421,-0.23897,-1.77126,-0.13883,-1.96869,-3.70517,-2.72166,-1.03147,-2.24492,-2.1539,-2.35036,-0.23973,-2.52011,-2.75657
132,-6.43846,-2.34871,-2.4257,-1.47709,-1.3337,-0.58927,-1.65169,-0.1627,-0.04462,-4.34507,-3.58419,-1.8631,-2.19007,-0.29642
133,-6.43779,-4.82041,-1.52051,-2.048,-0.59995,-1.4536,-1.34784,-3.02394,-0.39135,-1.549,-0.23821,-0.85992,-1.75438,-2.99198
134,-6.43258,-2.59437,-0.91752,-2.87824,-0.777,-1.59353,-3.03315,-0.87872,-0.32291,-3.29625,-0.6058,-1.86317,-3.22108,-2.11342
135,-6.42925,-0.39702,-1.7272,-1.93706,-4.91328,-2.04113,-1.39707,-0.55997,-2.41506,-1.56897,-2.55724,-0.93173,-0.76253,-2.21735
136,-6.41818,-2.98329,-2.46481,-2.11107,-3.23565,-1.71084,-4.68025,-0.54585,-0.25174,-0.69952,-0.47235,-1.43655,-0.939,-0.234
137,-6.41752,-3.61548,-1.16926,-3.14935,-2.00574,-1.06013,-0.52543,-1.5765,-3.43605,-1.17039,-2.38097,-1.19739,-1.43046,-2.05538
138,-6.41667,-0.09735,-0.05512,-2.31896,-5.34939,-0.00586,-2.88253,-0.96801,-2.11153,-0.25292,-0.7348,-2.18883,-0.82507,-2.245
139,-6.41494,-2.06952,-2.50705,-1.05763,-0.61156,-1.29808,-2.81447,-5.37875,-0.74272,-2.52161,-0.33501,-0.63145,-0.33627,-0.84638
140,-6.41489,-0.83391,-1.75293,-1.14261,-0.36405,-3.81922,-0.37544,-2.56433,-0.5292,-3.64143,-1.54739,-2.31739,-2.07362,-2.59521
141,-6.41223,-2.77719,-2.94529,-5.01677,-1.96895,-0.88805,-0.00515,-0.56754,-1.69088,-0.4168,-2.71976,-1.23979,-0.14628,-0.59321
142,-6.401,-2.04845,-1.82481,-0.94465,-0.75168,-3.8459,-0.12351,-0.12619,-3.62904,-0.76974,-3.00318,-1.96061,-2.55959,-1.4299
143,-6.39122,-0.12826,-2.88396,-0.96751,-2.36728,-5.01102,-0.6129,-1.56363,-1.59401,-0.54203,-3.14226,-0.74953,-1.51812,-0.87907
144,-6.3858,-1.70835,-0.23679,-2.99649,-0.71366,-0.64818,-0.42461,-2.45316,-3.33575,-2.55013,-1.03593,-3.54951,-2.53799,-1.54802
145,-6.38076,-1.2334,-0.83132,-0.07614,-4.37637,-2.28136,-0.22031,-2.09668,-1.74251,-3.33373,-2.80386,-0.61699,-0.66813,-2.32961
146,-6.3795,-0.65789,-0.57451,-0.07273,-2.1297,-1.34914,-1.18082,-5.02081,-0.56661,-3.33393,-0.83462,-2.14672,-2.64636,-1.35304
147,-6.3789,-0.51403,-2.13622,-1.12406,-2.34846,-1.64103,-0.20162,-2.60913,-2.32929,-2.04906,-1.21928,-3.71198,-1.94564,-3.08007
148,-6.374,-0.72367,-3.43874,-0.14881,-1.09419,-1.77188,-0.47109,-4.11191,-4.57033,-0.83824,-0.59189,-0.78519,-1.2469,-1.19273
149,-6.36928,-1.5695,-1.31485,-1.93959,-1.57831,-0.79565,-0.87364,-0.08306,-2.27265,-2.15124,-1.3184,-2.28401,-4.25156,-3.57218
150,-6.3629,-2.78979,-2.28753,-2.71533,-1.85548,-0.34907,-1.93412,-3.62313,-1.57124,-1.49002,-3.70131,-0.19804,-0.45326,-0.24269
151,-6.35898,-3.73486,-1.58698,-2.64294,-3.38194,-0.9163,-3.00359,-1.72965,-1.74011,-1.9922,-0.49949,-0.82794,-1.45864,-1.32694
152,-6.3586,-1.91778,-1.28925,-0.33342,-1.2962,-1.4515,-1.16202,-0.58997,-3.69138,-3.00422,-2.69438,-3.89383,-0.37712,-1.84828
153,-6.35714,-0.37641,-2.35702,-3.84872,-3.32024,-0.09004,-2.58634,-0.01081,-3.95493,-1.91378,-0.89772,-0.65844,-0.24561,-0.86703
154,-6.35218,-1.49613,-0.07726,-2.99673,-2.8047,-2.87548,-1.86452,-1.38321,-0.77035,-0.82555,-0.2428,-1.42174,-3.95155,-2.81611
155,-6.3515,-0.17795,-4.22837,-0.33504,-0.68981,-3.26105,-0.37418,-1.59126,-3.09539,-1.88375,-0.91481,-1.9581,-3.17043,-0.01688
156,-6.35064,-1.75343,-3.67374,-1.56879,-0.95345,-1.0431,-1.47383,-3.71988,-1.44188,-1.62215,-1.27847,-3.11155,-2.563,-0.18694
157,-6.34963,-0.78497,-1.0851,-0.48263,-1.71109,-3.66432,-2.79823,-1.63298,-1.87538,-2.22685,-1.57583,-0.48768,-4.05848,-1.77076
158,-6.34793,-0.14197,-1.56278,-2.77745,-1.1178,-0.02451,-2.55688,-5.70812,-0.47912,-0.80259,-1.82135,-1.65502,-1.42728,-0.43529
159,-6.34507,-1.42466,-0.21926,-0.90363,-1.2416,-0.54766,-3.88169,-0.98492,-3.62854,-1.14968,-4.10296,-2.42642,-1.22513,-0.50592
160,-6.33691,-2.17794,-1.51745,-0.78361,-1.99027,-2.54185,-0.73877,-4.0095,-1.31682,-0.1085,-1.33061,-0.4027,-3.15455,-3.3926
161,-6.33497,-1.75596,-3.71072,-1.01961,-0.91664,-0.00448,-1.10155,-1.44014,-0.67728,-2.73857,-3.58057,-1.11981,-3.79268,-1.19614
